genotype,meristem,plant,split,angle_deg,u_ara,position_ara,heldout
Col,3,9,development,136.232,0.756844444444,0.308216666667,True
Col,4,9,development,137.95,0.766388888889,1.07460555556,True
Col,5,9,development,131.541,0.730783333333,1.80538888889,True
Col,6,9,development,140.727,0.781816666667,0.587205555556,True
Col,7,9,development,138.99,0.772166666667,1.35937222222,True
Col,1,10,confirmation,129.058,0.716988888889,0.716988888889,False
Col,2,10,confirmation,137.783,0.765461111111,1.48245,False
Col,3,10,confirmation,141.049,0.783605555556,0.266055555556,True
Col,4,10,confirmation,126.755,0.704194444444,0.97025,True
Col,5,10,confirmation,148.542,0.825233333333,1.79548333333,True
Col,6,10,confirmation,130.098,0.722766666667,0.51825,True
Col,7,10,confirmation,128.837,0.715761111111,1.23401111111,True
Col,1,11,development,123.686,0.687144444444,0.687144444444,False
Col,2,11,development,131.039,0.727994444444,1.41513888889,False
Col,3,11,development,155.316,0.862866666667,0.278005555556,True
Col,4,11,development,120.384,0.6688,0.946805555556,True
Col,5,11,development,139.319,0.773994444444,1.7208,True
Col,6,11,development,144.035,0.800194444444,0.520994444444,True
Col,7,11,development,123.511,0.686172222222,1.20716666667,True
Col,1,12,confirmation,120.629,0.670161111111,0.670161111111,False
Col,2,12,confirmation,137.819,0.765661111111,1.43582222222,False
Col,3,12,confirmation,148.786,0.826588888889,0.262411111111,True
Col,4,12,confirmation,121.614,0.675633333333,0.938044444444,True
Col,5,12,confirmation,140.257,0.779205555556,1.71725,True
Col,6,12,confirmation,140.382,0.7799,0.49715,True
Col,7,12,confirmation,130.697,0.726094444444,1.22324444444,True
Col,1,13,development,122.377,0.679872222222,0.679872222222,False
Col,2,13,development,133.535,0.741861111111,1.42173333333,False
Col,3,13,development,151.919,0.843994444444,0.265727777778,True
Col,4,13,development,121.412,0.674511111111,0.940238888889,True
Col,5,13,development,144.182,0.801011111111,1.74125,True
Col,1,14,confirmation,120.517,0.669538888889,0.669538888889,False
Col,2,14,confirmation,143.556,0.797533333333,1.46707222222,False
Col,3,14,confirmation,144.95,0.805277777778,0.27235,True
Col,4,14,confirmation,122.363,0.679794444444,0.952144444444,True
Col,5,14,confirmation,150.397,0.835538888889,1.78768333333,True
Col,6,14,confirmation,134.925,0.749583333333,0.537266666667,True
Col,7,14,confirmation,133.038,0.7391,1.27636666667,True
Col,1,15,development,130.116,0.722866666667,0.722866666667,False
Col,2,15,development,127.66,0.709222222222,1.43208888889,False
Col,3,15,development,154.049,0.855827777778,0.287916666667,True
Col,4,15,development,129.479,0.719327777778,1.00724444444,True
Col,5,15,development,140.429,0.780161111111,1.78740555556,True
Col,6,15,development,143.478,0.7971,0.584505555556,True
Col,7,15,development,135.374,0.752077777778,1.33658333333,True
Col,1,16,confirmation,122.053,0.678072222222,0.678072222222,False
Col,2,16,confirmation,137.518,0.763988888889,1.44206111111,False
Col,3,16,confirmation,148.983,0.827683333333,0.269744444444,True
Col,4,16,confirmation,131.572,0.730955555556,1.0007,True
Col,5,16,confirmation,140.731,0.781838888889,1.78253888889,True
Col,6,16,confirmation,138.538,0.769655555556,0.552194444444,True
Col,7,16,confirmation,141.158,0.784211111111,1.33640555556,True
Col,1,17,development,123.339,0.685216666667,0.685216666667,False
Col,2,17,development,137.247,0.762483333333,1.4477,False
Col,3,17,development,152.274,0.845966666667,0.293666666667,True
Col,4,17,development,121.314,0.673966666667,0.967633333333,True
Col,5,17,development,144.727,0.804038888889,1.77167222222,True
Col,6,17,development,129.995,0.722194444444,0.493866666667,True
Col,7,17,development,127.404,0.7078,1.20166666667,True
Col,1,18,confirmation,130.884,0.727133333333,0.727133333333,False
Col,2,18,confirmation,135.466,0.752588888889,1.47972222222,False
Col,3,18,confirmation,154.219,0.856772222222,0.336494444444,True
Col,4,18,confirmation,121.444,0.674688888889,1.01118333333,True
Col,5,18,confirmation,144.293,0.801627777778,1.81281111111,True
Col,6,18,confirmation,135.272,0.751511111111,0.564322222222,True
e1e2,1,1,development,116.385,0.646583333333,0.646583333333,False
e1e2,2,1,development,173.87,0.965944444444,1.61252777778,False
e1e2,3,1,development,108.038,0.600211111111,0.212738888889,True
e1e2,4,1,development,185.722,1.03178888889,1.24452777778,True
e1e2,5,1,development,106.787,0.593261111111,1.83778888889,True
e1e2,6,1,development,190.641,1.05911666667,0.896905555556,True
e1e2,1,2,confirmation,174.818,0.971211111111,0.971211111111,False
e1e2,2,2,confirmation,257.701,1.43167222222,0.402883333333,False
