plane,estimator,split,lag,n,n_contracting,n_expanding,median_contracting,median_expanding,reciprocal_product,winner,asymmetric_e_phi_score,score_plastic,score_sqrt2,score_three_halves,score_phi,score_octave,score_e
psi0_psi1,circle,calibration,1,79708,39788,39920,0.5486806175696453,1.8181140715708746,0.9975639516015696,octave,0.5163491545484721,0.6356393505968142,0.5048913186827926,0.3871082830264092,0.23561484912353103,0.1882558618771526,0.801961500757262
psi0_psi1,circle,calibration,2,79383,39619,39764,0.5968260713536224,1.6700115525145303,0.9967064340024108,phi,0.5154891732157516,0.4665609412349374,0.3358129093209158,0.21802987366453241,0.06653643976165424,0.3573342712390294,0.9710399101191388
psi0_psi1,circle,calibration,4,78736,39328,39408,0.5428807193873448,1.8392643488820473,0.9985011528645822,octave,0.5172882034099398,0.6578321854549711,0.5270841535409495,0.40930111788456613,0.25780768398168796,0.16606302701899567,0.7797686658991051
psi0_psi1,circle,calibration,8,77485,38767,38718,0.5474117751948917,1.8412516915319093,1.0079228570420795,octave,0.5266798109487264,0.6506004303077332,0.5198523983937116,0.4020693627373282,0.25057592883445,0.17329478216623362,0.787000421046343
psi0_psi1,circle,calibration,16,75091,37596,37495,0.5460032582901289,1.8374239801665748,1.0032394800313669,octave,0.522022419160816,0.6510957669558943,0.5203477350418727,0.40256469938548933,0.25107126548261116,0.17279944551807247,0.7865050843981819
psi0_psi1,circle,calibration,32,70544,35157,35387,0.5437213956461413,1.8324200122699632,0.9963259664813437,octave,0.5151073755835642,0.6525566593396797,0.521808627425658,0.40402559176927466,0.2525321578663965,0.17133855313428714,0.7850441920143966
psi0_psi1,circle,calibration,64,62377,31171,31206,0.5450107378886799,1.8399538409075074,1.0027946005141113,octave,0.5215788778183599,0.6542911181619377,0.5235430862479161,0.40576005059153275,0.2542666166886546,0.16960409431202905,0.7833097331921385
psi0_psi1,circle,holdout,1,79706,39921,39785,0.553469540992629,1.8202143708721106,1.007433212354774,octave,0.5261938971150619,0.6281036898712555,0.4973556579572339,0.37957262230085054,0.22807918839797237,0.19579152260271127,0.8094971614828207
psi0_psi1,circle,holdout,2,79392,39711,39681,0.5991227072391098,1.6649324378072834,0.9974988295093103,phi,0.5162838712973393,0.45967424442829075,0.3289262125142691,0.21114317685788575,0.05964974295500758,0.36422096804567605,0.9779266069257855
psi0_psi1,circle,holdout,4,78760,39436,39324,0.5478956506553493,1.8359623871929507,1.00591580670983,octave,0.5246865519723347,0.6468400857423435,0.5160920538283219,0.39830901817193853,0.24681558426906036,0.17705512673162327,0.7907607656117327
psi0_psi1,circle,holdout,8,77524,38721,38803,0.5412452890135432,1.8392467322753037,0.9954836291775616,octave,0.5142615745031458,0.6608396581256086,0.530091626211587,0.41230859055520364,0.26081515665232546,0.16305555434835817,0.7767611932284676
psi0_psi1,circle,holdout,16,75149,37498,37651,0.5443129933942334,1.8348216201696723,0.9987172484190115,octave,0.5175045999293527,0.6527789604942461,0.5220309285802245,0.4042478929238411,0.25275445902096294,0.1711162519797207,0.7848218908598301
psi0_psi1,circle,holdout,32,70600,35334,35266,0.5441573584129002,1.8392356763435544,1.0008336271378726,octave,0.5196214548041513,0.6554677555496309,0.5247197236356093,0.4069366879792259,0.2554432540763477,0.16842745692433592,0.7821330958044453
psi0_psi1,circle,holdout,64,62342,31115,31227,0.541610813707988,1.8230266415771124,0.9873709427559204,octave,0.5060786933126586,0.651306552441177,0.5205585205271553,0.40277548487077197,0.2512820509678938,0.17258866003278983,0.7862942989128993
psi1_psi2,circle,calibration,1,80239,40153,40086,0.548189602927121,1.8187274533014604,0.9970074804579816,octave,0.5157911688588329,0.6368719675369016,0.5061239356228799,0.38834089996649657,0.2368474660636184,0.18702324493706524,0.8007288838171747
psi1_psi2,circle,calibration,2,79947,40004,39943,0.5968656074138432,1.6733381076183067,0.9987579660123316,phi,0.5175453689892453,0.4684846536848444,0.33773662177082275,0.21995358611443938,0.06846015221156121,0.3554105587891224,0.9691161976692318
