domain,population,split,cell,evidence_role,n,n_contracting,n_expanding,n_reverse,n_forward,radial_median_contracting,radial_median_expanding,radial_reciprocal_product,radial_implied_alpha,angular_median_reverse_turns,angular_median_forward_turns,angular_implied_tau,radial_fixed_winner,angular_fixed_winner,radial_e_pass,angular_phi_pass,joint_fixed_pass,radial_score_plastic,radial_score_sqrt2,radial_score_three_halves,radial_score_phi,radial_score_octave,radial_score_e,angular_score_quarter,angular_score_third,angular_score_one_over_e,angular_score_three_eighths,angular_score_phi_inverse_squared,angular_score_two_fifths,angular_score_sqrt2_minus_1,radial_alpha_cal,radial_score_fitted_cal,radial_e_beats_fitted,angular_tau_cal,angular_score_fitted_cal,angular_phi_beats_fitted,strong_transfer_pass
recorded_qutrit,three_planes_circle,calibration,pooled,real_data_primary,1575525,787495,788030,787423,788102,0.552667618091,1.80882234013,0.99967753427,1.80911405229,0.26699915212,0.266872224882,0.266935688501,octave,quarter,False,False,False,0.311637677251,0.246263661294,0.187372143466,0.111625426515,0.100309928986,0.407162748426,0.0169356885009,0.0663976448325,0.100943752671,0.108064311499,0.115030322749,0.133064311499,0.147277873872,1.80911405229,0.000161258866442,False,0.266935688501,6.34636193182e-05,False,False
recorded_qutrit,three_planes_circle,holdout,pooled,real_data_primary,1571673,785198,786475,785632,786041,0.553331248102,1.80692199073,0.999826400355,1.80707885166,0.266633073749,0.2673878927,0.267010483224,octave,quarter,False,False,False,0.310512073116,0.245138057159,0.186246539331,0.110499822379,0.101435533121,0.408288352561,0.0170104832242,0.0663228501092,0.100868957947,0.107989516776,0.114955528026,0.132989516776,0.147203079149,1.80911405229,0.00112560413548,False,0.266935688501,0.000377409475511,False,False
recorded_bubbles,octave_relative_roots,calibration,pooled,real_data_transfer,500,189,311,248,248,0.833554604095,1.21091818727,1.00936643018,1.20528672622,0.0316170169798,0.0352553335868,0.0334361752833,plastic,quarter,False,False,False,0.094482088611,0.159856104568,0.218747622396,0.294494339348,0.506429694848,0.813282514288,0.216563824717,0.29989715805,0.334443265888,0.341563824717,0.348529835967,0.366563824717,0.38077738709,1.20528672622,0.00466141858676,False,0.0334361752833,0.00181915830348,False,False
recorded_bubbles,octave_relative_roots,evaluation,pooled,real_data_transfer,688,276,412,326,360,0.867330590465,1.19134806951,1.03329262458,1.17199844212,0.0238181828083,0.0209743881078,0.022396285458,plastic,quarter,False,False,False,0.122489290086,0.187863306043,0.246754823872,0.322501540823,0.534436896323,0.841289715763,0.227603714542,0.310937047875,0.345483155713,0.352603714542,0.359569725792,0.377603714542,0.391817276915,1.20528672622,0.0280072014755,False,0.0334361752833,0.0110398898252,False,False
recorded_bubbles,octave_relative_roots,holdout,pooled,real_data_transfer,160,72,88,73,87,0.784672226628,1.22307021118,0.959709225933,1.24848548915,0.0219239739619,0.0217703411051,0.0218471575335,plastic,quarter,False,False,False,0.0592728452576,0.124646861215,0.183538379043,0.259285095994,0.471220451495,0.778073270935,0.228152842466,0.3114861758,0.346032283638,0.353152842466,0.360118853717,0.378152842466,0.39236640484,1.20528672622,0.0352092433534,False,0.0334361752833,0.0115890177498,False,False
recorded_river,thalweg_rank1,calibration,pooled,real_data_primary,10,5,5,5,5,0.948851625618,1.01406669561,0.962198832616,1.03379423707,0.0497947488283,0.0535888514241,0.0516918001262,plastic,quarter,False,False,False,0.247963815071,0.313337831028,0.372229348856,0.447976065808,0.659911421308,0.966764240748,0.198308199874,0.281641533207,0.316187641045,0.323308199874,0.330274211124,0.348308199874,0.362521762247,1.03379423707,0.0192670814811,False,0.0516918001262,0.00189705129791,False,False
recorded_river,thalweg_rank1,evaluation,pooled,real_data_primary,10,5,5,4,6,0.912531976239,1.13584697742,1.03649668701,1.11567028858,0.0778186889272,0.0912618501689,0.0845402695481,plastic,quarter,False,False,False,0.171744194356,0.237118210313,0.296009728142,0.371756445093,0.583691800593,0.890544620033,0.165459730452,0.248793063785,0.283339171623,0.290459730452,0.297425741702,0.315459730452,0.329673292825,1.03379423707,0.0762196207146,False,0.0516918001262,0.0328484694219,False,False
recorded_river,thalweg_rank1,holdout,pooled,real_data_primary,11,4,6,5,6,0.914068129611,1.09139392008,0.997608399196,1.09269503272,0.198514309747,0.116507038427,0.157510674087,plastic,quarter,False,False,False,0.192546636698,0.257920652655,0.316812170483,0.392558887434,0.604494242935,0.911347062375,0.0924893259132,0.175822659247,0.210368767085,0.217489325913,0.224455337163,0.242489325913,0.256702888286,1.03379423707,0.0554171783733,False,0.0516918001262,0.105818873961,False,False
recorded_river,matched_rank_controls,calibration,pooled,real_data_control,400,197,201,180,220,0.918872932075,1.11668193694,1.02608880559,1.10239444567,0.151436461973,0.128536519088,0.139986490531,plastic,quarter,False,False,False,0.183714991458,0.249089007415,0.307980525243,0.383727242195,0.595662597695,0.902515417135,0.110013509469,0.193346842803,0.227892950641,0.235013509469,0.241979520719,0.260013509469,0.274227071842,1.10239444567,0.0128771490778,False,0.139986490531,0.0114499714427,False,False
recorded_river,matched_rank_controls,evaluation,pooled,real_data_control,400,214,186,177,223,0.919714217172,1.13675800178,1.04549249572,1.11175017902,0.117652088714,0.119128169395,0.118390129055,plastic,quarter,False,False,False,0.175263252537,0.240637268494,0.299528786322,0.375275503274,0.587210858774,0.894063678214,0.131609870945,0.214943204279,0.249489312117,0.256609870945,0.263575882195,0.281609870945,0.295823433318,1.10239444567,0.0222440310811,False,0.139986490531,0.0215963614759,False,False
recorded_river,matched_rank_controls,holdout,pooled,real_data_control,440,200,204,170,270,0.889759447346,1.09655039,0.975666068995,1.11014148625,0.158633494554,0.065894929455,0.112264212005,plastic,quarter,False,False,False,0.176712884421,0.242086900378,0.300978418206,0.376725135158,0.588660490658,0.895513310098,0.137735787995,0.221069121329,0.255615229167,0.262735787995,0.269701799246,0.287735787995,0.301949350369,1.10239444567,0.0123174467682,False,0.139986490531,0.0463692825495,False,False
muon_fusion_model,parent_phi_time_vs_e,development,pooled,construction_positive_only,2301,1149,1152,964,1337,0.617885908314,1.57968679685,0.976066211323,1.59893652312,0.181658873745,0.239451168238,0.210555020992,phi,quarter,False,False,False,0.188139450924,0.122765434967,0.0638739171385,0.0121124276997,0.223808155313,0.530660974753,0.0394449790084,0.122778312342,0.15732442018,0.164444979008,0.171410990258,0.189444979008,0.203658541381,,,False,,,False,False
