Name,fluid,partition,snapshots,dt_s,child_horizon_s,target_t_s
241113m,S1,development,52,0.0010000000000000009,0.0050000000000000044,0.275
241113n,S1,development,56,0.0010000000000000009,0.0050000000000000044,0.289
241113o,S1,development,74,0.0010000000000000009,0.0050000000000000044,0.405
241113p,S1,development,48,0.0010000000000000009,0.0050000000000000044,0.264
241113q,S1,development,55,0.0010000000000000009,0.0050000000000000044,0.285
241113r,S1,development,35,0.0010000000000000009,0.0050000000000000044,0.183
241113s,S1,development,18,0.0010000000000000009,0.0050000000000000044,0.097
241113t,S1,development,27,0.0010000000000000009,0.0050000000000000044,0.142
241113u,S1,development,27,0.0010000000000000009,0.0050000000000000044,0.144
241113v,S1,development,34,0.0010000000000000009,0.0050000000000000044,0.18
241113w,S1,development,11,0.0010000000000000009,0.0050000000000000044,0.063
241118a,S1,development,22,0.0010000000000000009,0.0050000000000000044,0.12
241118b,S1,development,20,0.0010000000000000009,0.0050000000000000044,0.106
241118c,S1,development,22,0.0010000000000000009,0.0050000000000000044,0.119
241118d,S1,development,24,0.0010000000000000009,0.0050000000000000044,0.129
241118e,S1,development,19,0.0010000000000000009,0.0050000000000000044,0.102
241118f,S1,development,14,0.0010000000000000009,0.0050000000000000044,0.079
241118g,S1,development,10,0.0010000000000000009,0.0050000000000000044,0.056
241118h,S1,development,16,0.0010000000000000009,0.0050000000000000044,0.088
241118i,S1,development,11,0.0010000000000000009,0.0050000000000000044,0.062
241118j,S1,development,12,0.0010000000000000009,0.0050000000000000044,0.07
241118k,S1,development,16,0.0010000000000000009,0.0050000000000000044,0.09
241118l,S1,development,13,0.0010000000000000009,0.0050000000000000044,0.073
241118m,S1,development,11,0.0010000000000000009,0.0050000000000000044,0.062
241118n,S1,development,8,0.0010000000000000009,0.0050000000000000044,0.046
241118p,S1,development,10,0.0010000000000000009,0.0050000000000000044,0.057
241118r,S1,development,10,0.0010000000000000009,0.0050000000000000044,0.06
241118aa,S1,development,35,0.0010000000000000009,0.0050000000000000044,0.185
241118ab,S1,development,16,0.0010000000000000009,0.0050000000000000044,0.088
241118ad,S1,development,17,0.0010000000000000009,0.0050000000000000044,0.092
241118ae,S1,development,12,0.0010000000000000009,0.0050000000000000044,0.068
241118af,S1,development,5,0.0010000000000000009,0.0050000000000000044,0.035
241118ag,S1,development,9,0.0010000000000000009,0.0050000000000000044,0.055
241118al,S1,development,4,0.0010000000000000009,0.0050000000000000044,0.029
241112b,S3,development,367,0.0010000000000000009,0.18700000000000017,2.206
241112c,S3,development,515,0.0010000000000000009,0.18500000000000016,2.941
241112d,S3,development,613,0.0010000000000000009,0.18300000000000016,3.429
241112f,S3,development,421,0.0010000000000000009,0.17500000000000016,2.451
241112g,S3,development,305,0.0010000000000000009,0.16700000000000015,1.857
241112h,S3,development,352,0.0010000000000000009,0.16100000000000014,2.081
241113b,S3,development,480,0.0010000000000000009,0.2370000000000002,2.871
241022h,S2,diagnostic,150,0.0010000000000000009,0.019000000000000017,0.782
241022i,S2,diagnostic,111,0.0010000000000000009,0.019000000000000017,0.591
241022j,S2,diagnostic,115,0.0010000000000000009,0.019000000000000017,0.61
