partition,threshold,p_at_or_above,p_below,risk_difference,risk_ratio,event_count,snapshot_count
development,0.7,0.08886456384210074,0.013257050507863287,0.07560751333423746,6.703192673920312,41,3826
development,0.8,0.09040614049671349,0.015554272153239167,0.07485186834347432,5.812302858407069,41,3826
development,0.9,0.09372842158644883,0.015815567763836736,0.0779128538226121,5.9263393503181465,41,3826
development,1.0,0.09762564065357472,0.01945598200017738,0.07816965865339734,5.017769889624932,41,3826
development,1.1,0.10058106773022767,0.02571173234283457,0.0748693353873931,3.911874407725698,41,3826
development,1.2,0.10371731993955226,0.0318922731373272,0.07182504680222507,3.252114375571428,41,3826
diagnostic,0.7,0.07399945431288618,0.040416844990086,0.03358260932280018,1.8309062553259114,82,6974
diagnostic,0.8,0.07280021920704481,0.062356358005875134,0.010443861201169677,1.1674867092171366,82,6974
diagnostic,0.9,0.07044807964502355,0.0910863058316322,-0.020638226186608655,0.7734211965434493,82,6974
diagnostic,1.0,0.06853609776947422,0.105085494226238,-0.03654939645676378,0.6521937045080953,82,6974
diagnostic,1.1,0.06573582311620534,0.11063640755591062,-0.04490058443970528,0.5941608605014171,82,6974
diagnostic,1.2,0.06299073840107751,0.10376982701193475,-0.040779088610857245,0.6070236427572808,82,6974
pooled,0.7,0.07834767593301695,0.022481362151661508,0.05586631378135544,3.485005730723776,123,10800
pooled,0.8,0.07788277121002511,0.03219805028107478,0.04568472092895033,2.4188660658065584,123,10800
pooled,0.9,0.07702373564037955,0.04347130878154962,0.033552426858829934,1.7718292317223834,123,10800
pooled,1.0,0.07645624579045063,0.051591506905971904,0.024864738884478724,1.4819541117454846,123,10800
pooled,1.1,0.07499859207773128,0.06208161078103865,0.01291698129669263,1.208064532060077,123,10800
pooled,1.2,0.07380863509807752,0.0681799615502385,0.005628673547839011,1.0825561267542152,123,10800
