run,field_G,model,rmse_log_rate,parent_history_rmse_log_rate,improvement_fraction
EMU00069986,68.0,D0 parent + history,0.011457608471279718,0.011457608471279718,0.0
EMU00069992,104.0,D0 parent + history,0.011718717767547978,0.011718717767547978,0.0
EMU00069998,140.0,D0 parent + history,0.010946535936645308,0.010946535936645308,0.0
EMU00070004,176.0,D0 parent + history,0.010971035900235387,0.010971035900235387,0.0
EMU00070010,212.0,D0 parent + history,0.010804715877642843,0.010804715877642843,0.0
EMU00070016,248.0,D0 parent + history,0.011529667269157126,0.011529667269157126,0.0
EMU00070022,284.0,D0 parent + history,0.011669680725737855,0.011669680725737855,0.0
EMU00070028,320.0,D0 parent + history,0.011780553550779234,0.011780553550779234,0.0
EMU00070034,356.0,D0 parent + history,0.011665941659524486,0.011665941659524486,0.0
EMU00070040,392.0,D0 parent + history,0.011905819495269367,0.011905819495269367,0.0
EMU00070046,428.0,D0 parent + history,0.011608166984588357,0.011608166984588357,0.0
EMU00070052,464.0,D0 parent + history,0.011178007775798115,0.011178007775798115,0.0
EMU00070058,500.0,D0 parent + history,0.010948710417486128,0.010948710417486128,0.0
EMU00069986,68.0,D1 + spin,0.011481005678659067,0.011457608471279718,-0.0020420672811432006
EMU00069992,104.0,D1 + spin,0.01174041919497183,0.011718717767547978,-0.0018518602337149748
EMU00069998,140.0,D1 + spin,0.010931315048465961,0.010946535936645308,0.0013904753309577078
EMU00070004,176.0,D1 + spin,0.010983436548875495,0.010971035900235387,-0.0011303079082842782
EMU00070010,212.0,D1 + spin,0.010807485001834932,0.010804715877642843,-0.0002562884784242936
EMU00070016,248.0,D1 + spin,0.01154442844671362,0.011529667269157126,-0.0012802778442688734
EMU00070022,284.0,D1 + spin,0.011632201359907869,0.011669680725737855,0.003211687338396829
EMU00070028,320.0,D1 + spin,0.011820581475999209,0.011780553550779234,-0.0033977966355687172
EMU00070034,356.0,D1 + spin,0.011724410175223144,0.011665941659524486,-0.00501189851664674
EMU00070040,392.0,D1 + spin,0.011845253497313617,0.011905819495269367,0.005087091903233976
EMU00070046,428.0,D1 + spin,0.011634667348908861,0.011608166984588357,-0.0022829068840659605
EMU00070052,464.0,D1 + spin,0.011176407219370202,0.011178007775798115,0.00014318798662660281
EMU00070058,500.0,D1 + spin,0.010983949425004504,0.010948710417486128,-0.003218553251905787
EMU00069986,68.0,D2 + strength,0.011480018118936447,0.011457608471279718,-0.001955874798209578
EMU00069992,104.0,D2 + strength,0.011747102181358738,0.011718717767547978,-0.0024221433072961762
EMU00069998,140.0,D2 + strength,0.010918781211344514,0.010946535936645308,0.0025354802159723855
EMU00070004,176.0,D2 + strength,0.010938077013960403,0.010971035900235387,0.003004172675642791
EMU00070010,212.0,D2 + strength,0.010793940649280824,0.010804715877642843,0.0009972708661701857
EMU00070016,248.0,D2 + strength,0.011562539552765719,0.011529667269157126,-0.0028511042722394464
EMU00070022,284.0,D2 + strength,0.011642908541521644,0.011669680725737855,0.002294165954100591
EMU00070028,320.0,D2 + strength,0.011793204995814956,0.011780553550779234,-0.0010739261938066402
EMU00070034,356.0,D2 + strength,0.011738370241217164,0.011665941659524486,-0.0062085499659210175
EMU00070040,392.0,D2 + strength,0.01185601977438083,0.011905819495269367,0.0041828049642719245
EMU00070046,428.0,D2 + strength,0.011639717622720184,0.011608166984588357,-0.002717969010414434
EMU00070052,464.0,D2 + strength,0.011207221182604702,0.011178007775798115,-0.002613471684089985
EMU00070058,500.0,D2 + strength,0.010982513164346046,0.010948710417486128,-0.0030873724457936014
EMU00069986,68.0,D3 full diagnostic,0.011482256807019468,0.011457608471279718,-0.0021512635731562035
EMU00069992,104.0,D3 full diagnostic,0.011750961298589524,0.011718717767547978,-0.0027514555500973703
EMU00069998,140.0,D3 full diagnostic,0.010932655096479484,0.010946535936645308,0.001268057789803323
EMU00070004,176.0,D3 full diagnostic,0.010931862329467391,0.010971035900235387,0.0035706355465626727
EMU00070010,212.0,D3 full diagnostic,0.010789963793312042,0.010804715877642843,0.001365337552403978
EMU00070016,248.0,D3 full diagnostic,0.011558727541429404,0.011529667269157126,-0.002520477962969281
EMU00070022,284.0,D3 full diagnostic,0.011649801305628774,0.011669680725737855,0.0017035101967474153
EMU00070028,320.0,D3 full diagnostic,0.011810178567578879,0.011780553550779234,-0.0025147389443076484
EMU00070034,356.0,D3 full diagnostic,0.011756868918577244,0.011665941659524486,-0.0077942494233649295
EMU00070040,392.0,D3 full diagnostic,0.011856388846676969,0.011905819495269367,0.004151805645301376
EMU00070046,428.0,D3 full diagnostic,0.011638843320402313,0.011608166984588357,-0.002642651148513364
EMU00070052,464.0,D3 full diagnostic,0.011186201296085241,0.011178007775798115,-0.000733003631010698
EMU00070058,500.0,D3 full diagnostic,0.01104695981952633,0.010948710417486128,-0.00897360495381161
