control,run,field_G,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
wrong_frequency,EMU00069986,68.0,0.05704555605604788,0.08222544567844473,0.30622989531569933
wrong_frequency,EMU00069992,104.0,0.06233520414136788,0.08263646737205393,0.24566954368080296
wrong_frequency,EMU00069998,140.0,0.056817185461093,0.08184399086049272,0.305786718563849
wrong_frequency,EMU00070004,176.0,0.05620046707867905,0.08232450214206602,0.3173300097011842
wrong_frequency,EMU00070010,212.0,0.05807824923657684,0.08156774663489143,0.28797531337302773
wrong_frequency,EMU00070016,248.0,0.05630031652423222,0.08185685930797723,0.31221015562778176
wrong_frequency,EMU00070022,284.0,0.059129926599199065,0.08215093950721193,0.28022823653759776
wrong_frequency,EMU00070028,320.0,0.05366582570967539,0.08187001214671888,0.34449960000615243
wrong_frequency,EMU00070034,356.0,0.054341758034938195,0.08343861330640764,0.3487217023204646
wrong_frequency,EMU00070040,392.0,0.05824743061938149,0.08157420136830795,0.28595769689004946
wrong_frequency,EMU00070046,428.0,0.05188975803980708,0.08236866822548086,0.37003038706707037
wrong_frequency,EMU00070052,464.0,0.05810312522094879,0.08228209742032659,0.2938545924013446
wrong_frequency,EMU00070058,500.0,0.055030957756283125,0.0817495286394,0.3268345558415806
broken_history,EMU00069986,68.0,0.42707628070572395,0.08222544567844473,-4.1939673562350945
broken_history,EMU00069992,104.0,0.42185925987270884,0.08263646737205393,-4.105001136766569
broken_history,EMU00069998,140.0,0.423400179524199,0.08184399086049272,-4.173259210268794
broken_history,EMU00070004,176.0,0.41505139937923274,0.08232450214206602,-4.041650888613763
broken_history,EMU00070010,212.0,0.40902323966358706,0.08156774663489143,-4.014521750789953
broken_history,EMU00070016,248.0,0.4075416843384842,0.08185685930797723,-3.978711470044977
broken_history,EMU00070022,284.0,0.39666749388657235,0.08215093950721193,-3.8285204803013775
broken_history,EMU00070028,320.0,0.37095531269978244,0.08187001214671888,-3.5310279426244016
broken_history,EMU00070034,356.0,0.37111878322807745,0.08343861330640764,-3.4478062197083217
broken_history,EMU00070040,392.0,0.3720806142014774,0.08157420136830795,-3.561253533105785
broken_history,EMU00070046,428.0,0.37610695390926113,0.08236866822548086,-3.5661410098277138
broken_history,EMU00070052,464.0,0.36899357595454724,0.08228209742032659,-3.484494045765449
broken_history,EMU00070058,500.0,0.3686846241350197,0.0817495286394,-3.509929662852251
