horizon_bins,model,lambda,median_leave_run_out_rmse,mean_leave_run_out_rmse
1,M0 parent,0.0,0.08385067206277431,0.08384012358043291
1,M0 parent,1e-06,0.08385067205876356,0.08384012358042262
1,M0 parent,0.0001,0.08385067166185121,0.08384012357955707
1,M0 parent,0.01,0.08385063352277945,0.083840125040557
1,M0 parent,0.1,0.08385042747691472,0.08384027857666519
1,M0 parent,1.0,0.08386200830779293,0.08385541355651337
1,M0 parent,10.0,0.08507738254805315,0.08510212155625539
1,M0 parent,100.0,0.11429268081306455,0.11421473447036787
1,M1 + spin,0.0,0.08394423549624976,0.0839810434907182
1,M1 + spin,1e-06,0.08394423548121527,0.0839810434835265
1,M1 + spin,0.0001,0.08394423399296554,0.08398104277170833
1,M1 + spin,0.01,0.08394408675977261,0.08398097316031634
1,M1 + spin,0.1,0.08394289254205316,0.08398048265780396
1,M1 + spin,1.0,0.08394494214143738,0.08398937953282437
1,M1 + spin,10.0,0.08509476912145181,0.08519089289096446
1,M1 + spin,100.0,0.11436608196813905,0.1142901517078121
1,M2 + strength,0.0,0.05701983097601443,0.05675003736914585
1,M2 + strength,1e-06,0.05701983092392573,0.0567500373566675
1,M2 + strength,0.0001,0.05701982576728818,0.056750036121445725
1,M2 + strength,0.01,0.05701931153613148,0.05674991406340059
1,M2 + strength,0.1,0.05701476618609636,0.056748936733386136
1,M2 + strength,1.0,0.056981531506044084,0.05675160976024092
1,M2 + strength,10.0,0.057677787462603804,0.05754910574476202
1,M2 + strength,100.0,0.06636297801519266,0.06674328539529019
1,M3 + environment,0.0,0.056919528147412364,0.05672151236071957
1,M3 + environment,1e-06,0.05691952809857214,0.056721512350495266
1,M3 + environment,0.0001,0.056919523263518984,0.056721511338434574
1,M3 + environment,0.01,0.0569190411741123,0.056721411584518634
1,M3 + environment,0.1,0.05691478650761156,0.056720635931235025
1,M3 + environment,1.0,0.05688431069767898,0.056725217933600636
1,M3 + environment,10.0,0.05734743973591081,0.05753215817131301
1,M3 + environment,100.0,0.06570043575505868,0.06664074521126463
1,M4 full lock,0.0,0.05699216865855112,0.05674301098775344
1,M4 full lock,1e-06,0.056992168573049784,0.05674301096523289
1,M4 full lock,0.0001,0.056992160108724085,0.05674300873591279
1,M4 full lock,0.01,0.0569913170360768,0.056742787929355505
1,M4 full lock,0.1,0.05698394836974536,0.056740969790798464
1,M4 full lock,1.0,0.0569331800343526,0.05673884356713544
1,M4 full lock,10.0,0.05736582840489657,0.05753673061019626
1,M4 full lock,100.0,0.06574218233014041,0.06668279387523603
4,M0 parent,0.0,0.08190173499590313,0.08190372516848132
4,M0 parent,1e-06,0.08190173499240716,0.08190372516846975
4,M0 parent,0.0001,0.08190173464646237,0.0819037251674797
4,M0 parent,0.01,0.08190170161138158,0.08190372662360816
4,M0 parent,0.1,0.0819015426183707,0.08190388079948303
4,M0 parent,1.0,0.08191365457324276,0.08191908591321462
4,M0 parent,10.0,0.08313697554761532,0.0831694860151148
4,M0 parent,100.0,0.11216884713653705,0.11207691762711582
4,M1 + spin,0.0,0.08195764155254874,0.08203591581445517
4,M1 + spin,1e-06,0.08195764153688252,0.08203591580716273
4,M1 + spin,0.0001,0.0819576399860597,0.08203591508536165
4,M1 + spin,0.01,0.08195748650667592,0.08203584448344745
4,M1 + spin,0.1,0.08195623651048363,0.08203534567769875
4,M1 + spin,1.0,0.08195782330396029,0.0820442250079225
4,M1 + spin,10.0,0.08310858762952673,0.08324873346436855
4,M1 + spin,100.0,0.11214921486538423,0.11214221040859604
4,M2 + strength,0.0,0.056386253376832146,0.05620057118827694
4,M2 + strength,1e-06,0.0563862533956148,0.05620057117569762
4,M2 + strength,0.0001,0.05638625525530605,0.05620056993048839
4,M2 + strength,0.01,0.056386442718890706,0.05620044690958646
4,M2 + strength,0.1,0.056388281916858345,0.056199464062275724
4,M2 + strength,1.0,0.056419331661661444,0.05620238012899852
4,M2 + strength,10.0,0.05716489274610103,0.05701741058913215
4,M2 + strength,100.0,0.06563064545455019,0.06629516364497216
4,M3 + environment,0.0,0.05625298638333229,0.05615116316606609
4,M3 + environment,1e-06,0.056252986324533204,0.05615116315601612
4,M3 + environment,0.0001,0.05625298050350777,0.05615116216122008
4,M3 + environment,0.01,0.056252399932619365,0.05615106416864909
4,M3 + environment,0.1,0.0562472604364409,0.056150307671335005
4,M3 + environment,1.0,0.05620891864887899,0.05615537000221979
4,M3 + environment,10.0,0.0569162422938031,0.05698123484469732
4,M3 + environment,100.0,0.06547959256181633,0.06616795420482302
4,M4 full lock,0.0,0.056217132224391245,0.056171014534343894
4,M4 full lock,1e-06,0.05621713217819094,0.05617101451057928
4,M4 full lock,0.0001,0.0562171276044254,0.05617101215810025
4,M4 full lock,0.01,0.05621667124661039,0.05617077921163445
4,M4 full lock,0.1,0.05621261627304605,0.05616886577546332
4,M4 full lock,1.0,0.05618201816567785,0.05616672968680518
4,M4 full lock,10.0,0.056919058174983904,0.056983860369314326
4,M4 full lock,100.0,0.0655306700702241,0.0662092376773421
8,M0 parent,0.0,0.07940441944217984,0.07936606312604236
8,M0 parent,1e-06,0.07940441943772929,0.0793660631260286
8,M0 parent,0.0001,0.07940441899728068,0.07936606312482468
