model,lambda,median_field_improvement_fraction,mean_field_improvement_fraction,field_wins,field_count,median_field_rmse_log_rate
D0 parent + history,0.1,0.0,0.0,0,13,0.011529667269157126
D1 + spin,0.1,-0.0012802778442688734,-0.0008184241903698239,4,13,0.01154442844671362
D2 + strength,0.0,-0.001955874798209578,-0.000762809000124077,5,13,0.011562539552765719
D3 full diagnostic,0.0,-0.0021512635731562035,-0.0013863152658778722,5,13,0.011558727541429404
