strength_decile,mean_strength,mean_current_log_rate,se_current_log_rate,sample_bins
1,0.04482686192473377,-0.21273928162299668,0.0037474414827670323,884
2,0.052958174672207335,-0.4334477070243924,0.005165884836407131,884
3,0.0611631866837239,-0.6774537661478487,0.0053916819937111365,884
4,0.06994476215225047,-0.9263931498167729,0.005725028490356294,884
5,0.07915055637395796,-1.1684556491131173,0.006087741662900393,884
6,0.0890484831711363,-1.4092358463959855,0.005791732895947459,884
7,0.1002382829443294,-1.6709914440292546,0.005883085851000303,884
8,0.1123355563154058,-1.9118519613008906,0.006032430053444567,884
9,0.12571598380787935,-2.144253275472777,0.0057661050296833475,884
10,0.14451282468385568,-2.3610193890503877,0.0042439815993259794,884
