strength_decile,mean_strength,mean_future_parent_residual,se_future_parent_residual,sample_bins
1,0.04482686192473377,0.03250881021955543,0.0029566662427971627,884
2,0.052958174672207335,-0.06481750816646624,0.0014593497632266273,884
3,0.0611631866837239,-0.05946329829661635,0.0011252814659836016,884
4,0.06994476215225047,-0.0027695371802659513,0.0014544036091778043,884
5,0.07915055637395796,0.05250202307636853,0.0012150711146970705,884
6,0.0890484831711363,0.08448347353634554,0.0006235300837585911,884
7,0.1002382829443294,0.07952948014526694,0.0008848296188128759,884
8,0.1123355563154058,0.037840543605564575,0.0015495331383441732,884
9,0.12571598380787935,-0.03357784155336792,0.0021927147095113335,884
10,0.14451282468385568,-0.12236175338570238,0.002030122861670147,884
