horizon_bins,horizon_us,run,field_G,period,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
1,0.016,EMU00069986,68.0,RF off,M0 parent,0.08412070516234553,0.08412070516234553,0.0
1,0.016,EMU00069986,68.0,RF on,M0 parent,0.08422700496676414,0.08422700496676414,0.0
1,0.016,EMU00069992,104.0,RF off,M0 parent,0.08391362590992386,0.08391362590992386,0.0
1,0.016,EMU00069992,104.0,RF on,M0 parent,0.08521457099532213,0.08521457099532213,0.0
1,0.016,EMU00069998,140.0,RF off,M0 parent,0.08360336027124292,0.08360336027124292,0.0
1,0.016,EMU00069998,140.0,RF on,M0 parent,0.08398129943425642,0.08398129943425642,0.0
1,0.016,EMU00070004,176.0,RF off,M0 parent,0.08456629381772766,0.08456629381772766,0.0
1,0.016,EMU00070004,176.0,RF on,M0 parent,0.08383527403670188,0.08383527403670188,0.0
1,0.016,EMU00070010,212.0,RF off,M0 parent,0.08423742366849181,0.08423742366849181,0.0
1,0.016,EMU00070010,212.0,RF on,M0 parent,0.08279855207762613,0.08279855207762613,0.0
1,0.016,EMU00070016,248.0,RF off,M0 parent,0.08361358722209786,0.08361358722209786,0.0
1,0.016,EMU00070016,248.0,RF on,M0 parent,0.08382509223912188,0.08382509223912188,0.0
1,0.016,EMU00070022,284.0,RF off,M0 parent,0.08438600724790525,0.08438600724790525,0.0
1,0.016,EMU00070022,284.0,RF on,M0 parent,0.08373825740640643,0.08373825740640643,0.0
1,0.016,EMU00070028,320.0,RF off,M0 parent,0.0839186994336013,0.0839186994336013,0.0
1,0.016,EMU00070028,320.0,RF on,M0 parent,0.08373021968773237,0.08373021968773237,0.0
1,0.016,EMU00070034,356.0,RF off,M0 parent,0.0857272242734141,0.0857272242734141,0.0
1,0.016,EMU00070034,356.0,RF on,M0 parent,0.08508486545914465,0.08508486545914465,0.0
1,0.016,EMU00070040,392.0,RF off,M0 parent,0.08325542004690249,0.08325542004690249,0.0
1,0.016,EMU00070040,392.0,RF on,M0 parent,0.08371353397487775,0.08371353397487775,0.0
1,0.016,EMU00070046,428.0,RF off,M0 parent,0.08451900966299668,0.08451900966299668,0.0
1,0.016,EMU00070046,428.0,RF on,M0 parent,0.08420430126655509,0.08420430126655509,0.0
1,0.016,EMU00070052,464.0,RF off,M0 parent,0.08453727167208672,0.08453727167208672,0.0
1,0.016,EMU00070052,464.0,RF on,M0 parent,0.08372895348150965,0.08372895348150965,0.0
1,0.016,EMU00070058,500.0,RF off,M0 parent,0.08386323790303303,0.08386323790303303,0.0
1,0.016,EMU00070058,500.0,RF on,M0 parent,0.08351556897277149,0.08351556897277149,0.0
1,0.016,EMU00069986,68.0,RF off,M1 + spin,0.08394796876253044,0.08412070516234553,0.002053434995364367
1,0.016,EMU00069986,68.0,RF on,M1 + spin,0.08408587830860706,0.08422700496676414,0.00167555118708973
1,0.016,EMU00069992,104.0,RF off,M1 + spin,0.08426419479301012,0.08391362590992386,-0.004177734894480256
1,0.016,EMU00069992,104.0,RF on,M1 + spin,0.08559275105829212,0.08521457099532213,-0.004437974146355161
1,0.016,EMU00069998,140.0,RF off,M1 + spin,0.08394083812295841,0.08360336027124292,-0.004036654156251318
1,0.016,EMU00069998,140.0,RF on,M1 + spin,0.0843455825457004,0.08398129943425642,-0.004337669384708143
1,0.016,EMU00070004,176.0,RF off,M1 + spin,0.0845270414908556,0.08456629381772766,0.00046416042491659315
1,0.016,EMU00070004,176.0,RF on,M1 + spin,0.08379960214000247,0.08383527403670188,0.0004254998520526465
1,0.016,EMU00070010,212.0,RF off,M1 + spin,0.08411959641156751,0.08423742366849181,0.001398751906136142
1,0.016,EMU00070010,212.0,RF on,M1 + spin,0.08269034803157363,0.08279855207762613,0.0013068350029967757
1,0.016,EMU00070016,248.0,RF off,M1 + spin,0.08369167133860658,0.08361358722209786,-0.0009338687539062196
1,0.016,EMU00070016,248.0,RF on,M1 + spin,0.0839076902464776,0.08382509223912188,-0.0009853613655455007
1,0.016,EMU00070022,284.0,RF off,M1 + spin,0.08446755700621181,0.08438600724790525,-0.0009663895824219004
1,0.016,EMU00070022,284.0,RF on,M1 + spin,0.08380443785607512,0.08373825740640643,-0.0007903251359471231
1,0.016,EMU00070028,320.0,RF off,M1 + spin,0.08382558172259685,0.0839186994336013,0.001109618137946966
1,0.016,EMU00070028,320.0,RF on,M1 + spin,0.08363621036609513,0.08373021968773237,0.00112276454054272
1,0.016,EMU00070034,356.0,RF off,M1 + spin,0.08562882333715219,0.0857272242734141,0.0011478376571260052
1,0.016,EMU00070034,356.0,RF on,M1 + spin,0.08498870335772718,0.08508486545914465,0.0011301904386702422
1,0.016,EMU00070040,392.0,RF off,M1 + spin,0.08331813620630958,0.08325542004690249,-0.0007532982161613244
1,0.016,EMU00070040,392.0,RF on,M1 + spin,0.08375766791520152,0.08371353397487775,-0.0005272019735425015
1,0.016,EMU00070046,428.0,RF off,M1 + spin,0.08463991869447354,0.08451900966299668,-0.0014305542854673448
1,0.016,EMU00070046,428.0,RF on,M1 + spin,0.08432247422655616,0.08420430126655509,-0.001403407643357557
1,0.016,EMU00070052,464.0,RF off,M1 + spin,0.08456286423618242,0.08453727167208672,-0.0003027370482806546
1,0.016,EMU00070052,464.0,RF on,M1 + spin,0.08371695751581192,0.08372895348150965,0.00014327141566838897
