run,field_g,timing_field_g,turns,centre_us,half_width_us,n_bins,observed_counts,expected_counts,observed_expected_ratio,mean_pearson_residual
EMU00066578,63.0,63.0,7.5,8.625833492697605,0.14356924631888476,18,130374.0,132821.86609990042,0.9815703078734093,-1.575587090205861
EMU00066579,160.0,160.0,7.5,3.3964219377496825,0.056530390738060876,7,548922.0,548454.2807770959,1.0008527952817532,0.23563338919785987
EMU00066580,400.0,400.0,7.5,1.358568775099873,0.02261215629522435,3,594044.0,593736.8604449849,1.0005172991193185,0.23125258954672367
