time (s)	R (um)
0	29.172
0.1	31.535
0.2	33.557
0.3	34.708
0.4	36.449
0.5	39.3455
0.6	39.614
0.7	40.159
0.8	43.882
0.9	44.247
1	47.304
1.1	51.7935
1.2	53.4955
1.3	54.4655
1.4	57.351
1.5	57.788
1.6	59.5765
1.7	60.2145
1.8	62.149
1.9	63.5445
2	62.586
2.1	58.2765
2.2	53.632
2.3	51.109
2.4	50.4525
2.5	50.7085
2.6	49.1395
2.7	46.7765
2.8	41.735
