time (s)	frame	L(t) (um)
0	62	5.831
0.25	63	9.917
0.5	64	16.011
0.75	65	23.255
1	66	32.365
1.25	67	41.724
1.5	68	51.397
1.75	69	61.259
2	70	71.899
2.25	71	83.377
2.5	72	91.086
2.75	73	99.015
3	74	107.684
3.25	75	115.38
3.5	76	122.415
3.75	77	130.072
4	78	136.214
4.25	79	142
4.5	80	147.819
4.75	81	151.737
5	82	154.043
5.25	83	156.765
5.5	84	158.771
5.75	85	159.738
6	86	161.4
6.25	87	163.353
6.5	88	165.421		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
