time (s)	s(t) (um)
0	37.807
0.1	44.615
0.2	53.127
0.3	60.454
0.4	73.347
0.5	78.879
0.6	80.82
0.7	84.603
0.8	86.4
0.9	90.341
1	91.584
1.1	97.623
1.2	101.405
1.3	104.994
1.4	107.177
1.5	110.92
1.6	114.714
1.7	122.395
1.8	127.803
1.9	140.087
2	148.053
2.1	152.965
2.2	160.987
2.3	165.931
2.4	169.018
2.5	179.732
2.6	193.109
2.7	191.955
2.8	204.452
