time (s)	frame	L(t) (um)
0	23	112.255
0.25	24	106.074
0.5	25	97.659
0.75	26	90.228
1	27	85.038
1.25	28	79.876
1.5	29	75.451
1.75	30	72.376
2	31	71.728
2.25	32	71.728
2.5	33	69.464
2.75	34	67.619
3	35	65.411
3.25	36	62.623
3.5	37	61.803
3.75	38	60.933
4	39	59.888
4.25	40	58.591
4.5	41	56.383
4.75	42	56.178
5	43	54.118
5.25	44	53.379
5.5	45	50.297
5.75	46	49.102
6	47	46.225
6.25	48	45.308
6.5	49	44.078
6.75	50	41.987
7	51	40.552
7.25	52	38.991
7.5	53	36.931
7.75	54	36.726
8	55	36.521
8.25	56	35.224
8.5	57	34.814
8.75	58	33.336
9	59	33.336
9.25	60	31.901
9.5	61	31.253
9.75	62	30.795
10	63	30.385
10.25	64	29.515
10.5	65	28.218
10.75	66	26.078
11	67	24.388
11.25	68	23.649
11.5	69	21.996
11.75	70	21.126
12	71	21.126
12.25	72	21.126
12.5	73	19.931
12.75	74	19.473
13	75	18.556
13.25	76	18.351
13.5	77	16.916
13.75	78	14.243
14	79	13.218
14.25	80	11.988
14.5	81	11.578
14.75	82	9.549
15	83	8.099
15.25	84	7.894
15.5	85	7.894
15.75	86	7.894
16	87	7.894
16.25	88	7.246
16.5	89	4.991
16.75	90	4.991
17	91	4.991
17.25	92	4.991
17.5	93	4.343
17.75	94	3.096
18	95	2.051
18.25	96	1.593
18.5	97	0.218
