time (s)	R (um)
0	19.46
0.1	26.554
0.2	28.1995
0.3	32.5965
0.4	36.3215
0.5	40.739
0.6	43.1945
0.7	43.07
0.8	46.8945
0.9	52.275
1	53.496
1.1	55.8405
1.2	58.0525
1.3	62.912
1.4	65.976
1.5	67.9135
1.6	69.501
1.7	70.685
1.8	70.822
1.9	72.3535
2	73.716
2.1	76.466
2.2	76.74
2.3	76.5865
2.4	76.32
2.5	75.7285
2.6	75.493
2.7	76.934
2.8	74.154
2.9	74.3845
3	74.94
3.1	73.5135
3.2	70.42
3.3	70.691
3.4	67.2535
3.5	66.1925
3.6	63.4745
3.7	60.185
3.8	56.721
3.9	51.6355
4	45.51
4.1	42.2095
4.2	35.789
4.3	32.579
4.4	27.8115
4.5	18.679
4.6	14.5045


