time (s)	frame	L(t) (um)
0	36	84.006
0.25	37	81.512
0.5	38	78.376
0.75	39	75.641
1	40	71.661
1.25	41	69.167
1.5	42	65.855
1.75	43	63.19
2	44	61.5
2.25	45	59.86
2.5	46	58.547
2.75	47	57.522
3	48	57.522
3.25	49	57.522
3.5	50	57.522
3.75	51	57.522
4	52	56.477
4.25	53	56.477
4.5	54	56.477
4.75	55	56.272
5	56	55.042
5.25	57	54.632
5.5	58	53.197
5.75	59	52.172
6	60	50.338
6.25	61	49.723
6.5	62	48.033
6.75	63	46.541
7	64	45.961
7.25	65	45.044
7.5	66	44.224
7.75	67	43.485
8	68	42.46
8.25	69	41.435
8.5	70	40.205
8.75	71	39.59
9	72	39.18
9.25	73	38.565
9.5	74	36.912
9.75	75	36.297
10	76	35.452
10.25	77	34.837
10.5	78	33.92
10.75	79	32.895
11	80	31.978
11.25	81	31.568
11.5	82	30.523
11.75	83	29.498
12	84	28.268
12.25	85	28.063
12.5	86	28.063
12.75	87	27.038
13	88	26.218
13.25	89	24.578
13.5	90	23.143
13.75	91	23.143
14	92	22.938
14.25	93	22.323
14.5	94	20.67
14.75	95	20.212
15	96	19.392
15.25	97	18.744
15.5	98	16.992
15.75	99	16.992
16	100	16.377
