time (s)	frame	L(t) (um)
0	140	0
0.1	141	0.87
0.2	142	3.62
0.3	143	6.37
0.4	144	9.682
0.5	145	15.739
0.6	146	18.199
0.7	147	18.814
0.8	148	20.659
0.9	149	23.119
1	150	26.598
1.1	151	30.536
1.2	152	33.072
1.3	153	35.289
1.4	154	36.664
1.5	155	40.79
1.6	156	43.25
1.7	157	46
1.8	158	47.375
1.9	159	49.911
2	160	51.756
2.1	161	54.892
2.2	162	58.83
2.3	163	61.58
2.4	164	65.059
2.5	165	66.434
2.6	166	68.651
2.7	167	70.026
2.8	168	72.562
2.9	169	72.562
3	170	79.968
3.1	171	81.913
3.2	172	85.225
3.3	173	88.3
3.4	174	89.53
3.5	175	91.747
3.6	176	92.362
3.7	177	95.948
3.8	178	99.838
3.9	179	104.315
4	180	107.39
4.1	181	109.607
4.2	182	110.982
4.3	183	113.199
4.4	184	115.144
4.5	185	117.68
4.6	186	120.14
4.7	187	120.755
4.8	188	123.291
4.9	189	125.751
5	190	127.126
5.1	191	133.778
5.2	192	138.255
5.3	193	140.864
5.4	194	142.709
5.5	195	147.667
5.6	196	149.512
5.7	197	152.048
5.8	198	155.634
5.9	199	155.634
6	200	159.524
6.1	201	163.265
6.2	202	167.155
6.3	203	170.467
6.4	204	172.684
6.5	205	175.293
6.6	206	179.183
6.7	207	180.558
6.8	208	181.933
6.9	209	186.736
7	210	190.477
7.1	211	191.852
7.2	212	194.388
7.3	213	194.388
7.4	214	194.388
7.5	215	203.935
7.6	216	207.01
7.7	217	210.085
7.8	218	213.16
7.9	219	216.296
8	220	219.775
8.1	221	221.15
8.2	222	222.525
8.3	223	226.874
8.4	224	231.832
8.5	225	237.122
8.6	226	240.434
8.7	227	242.379
