time (s)	s(t) (um)
0	20.746
0.25	22.793
0.5	26.397
0.75	29.98
1	41.622
1.25	46.946
1.5	53.476
1.75	57.565
2	63.671
2.25	75.565
2.5	76.131
2.75	82.582
3	87.228
3.25	93.35
3.5	100.184
3.75	111.018
4	123.873
4.25	128.981
4.5	138.241
4.75	148.532
5	157.827
5.25	165.195
5.5	172.53
5.75	178.974
6	186.796
6.25	199.636
6.5	205.949
6.75	210.98
7	218.751
7.25	238.792
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
