time (s)	frame	 L(t) (um)
0	78	0
0.1	79	7.172
0.2	80	10.651
0.3	81	18.357
0.4	82	24.507
0.5	83	31.045
0.6	84	35.48
0.7	85	39.37
0.8	86	42.445
0.9	87	48.595
1	88	55.767
1.1	89	64.992
1.2	90	66.367
1.3	91	71.051
1.4	92	75.854
1.5	93	81.942
1.6	94	85.832
1.7	95	90.516
1.8	96	96.186
1.9	97	100.124
2	98	103.436
2.1	99	107.871
2.2	100	111.457
2.3	101	112.832
2.4	102	114.207
2.5	103	119.01
2.6	104	124.081
2.7	105	131.039
2.8	106	136.54
2.9	107	143.192
3	108	149.524
3.1	109	154.814
3.2	110	162.69
3.3	111	168.191
3.4	112	173.692
3.5	113	177.004
