time (s)	 R(t) (um)
0	8.785
0.25	14.195
0.5	17.375
0.75	21.75
1	25.14
1.25	29.95
1.5	34.545
1.75	39.465
2	44.28
2.25	49.87
2.5	56.17
2.75	61.305
3	68.185
3.25	73.105
3.5	76.37
3.75	81.715
4	84.975
4.25	85.305
4.5	85.7
4.75	84.77
5	82.925
5.25	80.465
5.5	77.695
5.75	74.93
6	71.755
6.25	67.3
6.5	63
6.75	57.355
7	51.31
7.25	42.125
