model,centre,holdout_band_n,calibration_higher_hazard,mean_nll,nll_improvement,ci95_low,ci95_high,permutation_p,supported
M050,0.5,48,True,1.804062642727939,-3.691420887049324e-06,-0.0012258471894232062,0.0010522127492024573,0.2958520739630185,False
M0706,0.7063064837018814,213,True,1.8045714871580276,-0.0005125358509754492,-0.0019486483009376044,0.0010149396562395678,0.7746126936531734,False
M075,0.75,259,True,1.8040617693543437,-2.8180472917273286e-06,-1.5144905396954071e-05,8.33155136358184e-06,0.671664167916042,False
M100,1.0,256,False,1.8041689806844778,-0.00011002937742567498,-0.0004054854430362297,0.00018182192890073702,0.5382308845577212,False
M125,1.25,36,False,1.8041919928937524,-0.00013304158670002656,-0.0005112358619542558,0.00025510744564597956,0.3268365817091454,False
M150,1.5,20,True,1.804315574998575,-0.0002566236915229136,-0.0010591465050587311,0.0005187725073957104,0.4197901049475262,False
