name,mu_m3_s2,radius_m,compactness_u,time_allocation_proposed,connection_allocation_proposed,allocation_total,ara_signed_distance_from_ridge,schwarzschild_lapse_exact,weak_field_lapse_first_order,weak_lapse_absolute_error,weak_lapse_relative_error,newton_surface_acceleration_m_s2,schwarzschild_static_proper_acceleration_m_s2,proper_acceleration_fractional_GR_correction,surface_gravitational_redshift
Earth (IAU nominal equatorial),398600400000000.0,6378100.0,1.390704935334958e-09,1.9999999972185902,2.781409870669916e-09,2.0,0.9999999972185902,0.9999999993046476,0.9999999993046476,2.417575273137329e-19,2.4175752748183955e-19,9.798398133669465,9.798398140482805,6.953524422925739e-10,6.953524422925739e-10
Jupiter (IAU nominal equatorial),1.2668653e+17,71492000.0,3.943316027128586e-08,1.9999999211336794,7.886632054257171e-08,2.0,0.9999999211336794,0.9999999802834196,0.9999999802834199,1.9437176995496126e-16,1.9437177378730796e-16,24.786519476149145,24.78651996485456,1.971658081245664e-08,1.971658081245664e-08
Sun (IAU nominal),1.3271244e+20,695700000.0,4.245005140290714e-06,1.9999915099897194,8.490010280581428e-06,2.0,0.9999915099897194,0.9999978774951773,0.9999978774974299,2.2525133611047583e-12,2.252518142085378e-12,274.20011165737316,274.2006936496678,2.1225093276289186e-06,2.1225093276289186e-06
PSR J0740+6620 (central spherical proxy),2.760418752e+20,12920.0,0.4754458326848699,1.0491083346302603,0.9508916653697398,2.0,0.04910833463026032,0.7242611181853753,0.7622770836575651,0.03801596547218979,0.052489308783326916,1653674165380.6707,2283256858415.8223,0.3807174993812785,0.3807174993812785
