time (s)	s(t) (um)
0	31.859
2	33.278
4	35.493
6	37.758
8	41.478
10	44.371
12	46.176
14	48.464
16	49.377
18	50.192
20	53.596
22	53.945
24	56.926
26	56.632
28	59.645
30	61.726
32	66.101
34	69.16
36	68.65
38	71.719
40	73.698
42	79.597
44	80.139
46	82.224
48	85.401
50	87.852
52	87.047
54	89.257
56	93.619
58	95.857
60	95.78
62	102.883
64	99.997
66	102.148
68	104.171
70	108.74
72	111.711
74	115.089
76	118.126
78	121.93
80	120.208
82	124.237
84	130.221
86	128.742
88	135.221
90	136.355
92	138.571
94	140.038
96	138.945
98	145.679
100	149.291
102	147.75
104	152.386
106	148.181
108	149.634
110	161.294
112	163.783
114	167.866
116	170.838
118	171.305
120	169.798
122	175.721
124	180.751
126	184.658
128	181.263
130	187.967
132	191.147
