time (s)	R(t) (um)
0.2	33.028
2	35.001
4	37.2435
6	38.9765
8	40.4225
10	41.6365
12	43.1835
14	45.524
16	47.076
18	49.3265
20	49.8385
22	51.882
24	53.524
26	55.064
28	56.591
30	58.343
32	60.0775
34	61.9115
36	63.56
38	64.988
40	66.422
42	67.5475
44	69.188
46	70.0095
48	70.9305
50	72.3685
52	73.086
54	73.907
56	74.7405
58	75.447
60	75.9775
62	76.6835
64	77.392
66	78.1095
68	78.3135
70	78.1095
72	78.7495
74	78.6595
76	78.4365
78	78.842
80	78.1575
82	78.253
84	78.1875
86	77.583
88	76.575
90	76.335
92	75.73
94	74.744
96	73.6435
98	72.7715
100	71.298
102	69.888
104	69.589
106	66.6175
108	65.3225
110	64.097
112	62.8625
114	59.2365
116	56.348
118	55.2945
120	54.243
122	47.8575
124	46.542
126	43.1815
128	41.4125
130	39.706
132	37.6345
