time (s)	R(t) (um)
0	22.1935
2	24.757
4	26.8745
6	28.094
8	31.6805
10	32.708
12	34.9675
14	37.729
16	39.3635
18	42.1425
20	44.0795
22	46.7725
24	48.801
26	51.265
28	54.2415
30	55.776
32	57.8135
34	60.272
36	62.4295
38	64.9965
40	67.0525
42	68.8875
44	70.9765
46	72.3775
48	75.0335
50	77.7975
52	79.131
54	80.669
56	83.2425
58	83.8655
60	84.983
62	87.1865
64	88.4195
66	89.781
68	91.4545
70	92.312
72	93.8485
74	92.893
76	93.896
78	94.7695
80	95.7225
82	95.7755
84	96.0905
86	96.554
88	96.6825
90	95.398
92	95.1755
94	95.4345
96	93.413
98	91.585
100	92.1035
102	90.0145
104	89.489
106	87.539
108	85.132
110	80.389
112	78.3705
114	75.9925
116	74.7505
118	71.159
120	68.7265
122	64.157
124	62.396
126	59.6865
128	55.754
130	50.9815
132	46.9475
134	40.7965
136	34.2995
