time (s)	frame	L(t) (um)
66.2	621	21.978
66.4	622	21.978
66.6	623	21.978
66.8	624	21.978
67	625	21.154
67.2	626	21.154
67.4	627	21.154
67.6	628	20.948
67.8	629	20.536
68	630	20.536
68.2	631	20.33
68.4	632	20.33
68.6	633	20.33
68.8	634	20.124
69	635	20.124
69.2	636	20.124
69.4	637	19.918
69.6	638	19.918
69.8	639	19.712
70	640	19.712
70.2	641	19.506
70.4	642	19.3
70.6	643	19.3
70.8	644	19.3
71	645	19.3
71.2	646	19.3
71.4	647	18.27
71.6	648	18.27
71.8	649	18.27
72	650	17.858
72.2	651	17.652
72.4	652	17.446
72.6	653	17.24
72.8	654	17.24
73	655	16.949
73.2	656	16.537
73.4	657	16.537
73.6	658	16.537
73.8	659	16.246
74	660	15.834
74.2	661	15.834
74.4	662	14.985
74.6	663	14.985
74.8	664	14.367
75	665	14.367
75.2	666	14.161
75.4	667	14.161
75.6	668	14.161
75.8	669	13.543
76	670	13.131
76.2	671	13.131
76.4	672	13.131
76.6	673	13.131
76.8	674	12.925
77	675	12.925
77.2	676	12.719
77.4	677	12.307
77.6	678	11.895
77.8	679	11.895
78	680	11.895
78.2	681	11.895
78.4	682	11.071
78.6	683	11.071
78.8	684	11.071
79	685	11.071
79.2	686	10.865
79.4	687	10.865
79.6	688	10.453
79.8	689	10.162
80	690	10.162
80.2	691	9.544
80.4	692	9.544
80.6	693	9.253
80.8	694	9.253
81	695	9.253
81.2	696	9.253
81.4	697	9.253
81.6	698	8.51
81.8	699	8.51
82	700	8.51
82.2	701	8.51
82.4	702	8.51
82.6	703	8.51
82.8	704	8.304
83	705	8.098
83.2	706	7.892
83.4	707	7.892
83.6	708	7.892
83.8	709	7.431
84	710	7.225
84.2	711	7.225
84.4	712	7.225
84.6	713	7.225
84.8	714	7.225
85	715	6.607
85.2	716	6.607
85.4	717	6.607
85.6	718	6.195
85.8	719	6.195
86	720	6.195
86.2	721	5.734
86.4	722	5.734
86.6	723	5.734
86.8	724	5.528
87	725	5.528
87.2	726	4.607
87.4	727	4.607
87.6	728	4.607
87.8	729	4.607
88	730	4.607
88.2	731	4.607
88.4	732	4.607
88.6	733	4.607
88.8	734	4.195
89	735	4.195
89.2	736	3.989
89.4	737	3.783
89.6	738	3.783
89.8	739	3.783
90	740	3.783
90.2	741	3.165
90.4	742	3.165
90.6	743	2.753
90.8	744	2.753
91	745	2.341
91.2	746	2.341
91.4	747	1.517
91.6	748	1.311
91.8	749	1.311
92	750	0.487
92.2	751	0.487
92.4	752	-0.131
