time (s)	frame	L(t) (um)
0	15	0
0.2	16	5.801
0.4	17	7.37
0.6	18	8.87
0.8	19	10.106
1	20	10.312
1.2	21	11.342
1.4	22	11.342
1.6	23	11.754
1.8	24	13.415
2	25	14.445
2.2	26	14.651
2.4	27	15.269
2.6	28	16.299
2.8	29	20.007
3	30	20.856
3.2	31	22.175
3.4	32	22.175
3.6	33	22.793
3.8	34	22.793
4	35	24.553
4.2	36	25.583
4.4	37	26.201
4.6	38	27.9
4.8	39	28.93
5	40	29.342
5.2	41	30.99
5.4	42	31.608
5.6	43	32.638
5.8	44	34.08
6	45	34.286
6.2	46	35.743
6.4	47	37.185
6.6	48	39.039
6.8	49	39.888
7	50	40.506
7.2	51	41.615
7.4	52	42.645
7.6	53	43.881
7.8	54	45.529
8	55	45.529
8.2	56	45.529
8.4	57	45.941
8.6	58	48.207
8.8	59	48.95
9	60	48.95
9.2	61	50.598
9.4	62	52.463
9.6	63	53.905
9.8	64	54.317
10	65	55.57
10.2	66	56.6
10.4	67	57.424
10.6	68	59.072
10.8	69	59.533
11	70	61.194
11.2	71	61.812
11.4	72	63.254
11.6	73	64.284
11.8	74	66.435
12	75	67.259
12.2	76	68.495
12.4	77	69.525
12.6	78	70.143
12.8	79	70.967
13	80	71.997
13.2	81	73.851
13.4	82	74.96
13.6	83	76.46
13.8	84	77.284
14	85	77.902
14.2	86	79.155
14.4	87	80.391
14.6	88	81.312
14.8	89	82.631
15	90	83.867
15.2	91	84.279
15.4	92	85.515
15.6	93	87.163
15.8	94	87.987
16	95	89.841
16.2	96	91.298
16.4	97	92.328
16.6	98	93.437
16.8	99	95.085
17	100	95.546
17.2	101	96.37
17.4	102	97.673
17.6	103	99.538
17.8	104	100.568
18	105	101.821
18.2	106	102.93
18.4	107	104.183
18.6	108	105.882
18.8	109	108.213
19	110	109.861
19.2	111	111.509
19.4	112	112.951
19.6	113	114.599
19.8	114	116.789
20	115	118.437
20.2	116	119.756
20.4	117	120.407
20.6	118	121.849
20.8	119	122.467
21	120	123.517
21.2	121	125.165
21.4	122	125.165
21.6	123	126.195
21.8	124	127.843
22	125	129.079
22.2	126	130.727
22.4	127	131.928
22.6	128	132.546
