time (s)	R(t) (um)
0	10.7175
2	11.885
4	12.423
6	14.57
8	15.981
10	17.7125
12	19.1795
14	20.7285
16	22.4125
18	23.828
20	25.9925
22	27.082
24	28.5865
26	29.953
28	31.6005
30	32.853
32	34.165
34	34.8785
36	36.1835
38	37.44
40	38.091
42	38.455
44	38.9385
46	39.605
48	39.379
50	38.89
52	39.4805
54	37.6415
56	37.3495
58	36.7665
60	36.52
62	35.0525
64	33.586
66	30.497
68	28.442
70	26.26
