time (s)	s(t) (um)
0	12.189
2	16.055
4	18.429
6	22.821
8	25.006
10	25.655
12	29.546
14	31.409
16	34.583
18	37.071
20	37.472
22	40.686
24	40.965
26	45.526
28	49.687
30	51.599
32	52.767
34	56.571
36	59.001
38	65.331
40	62.945
42	68.726
44	72.927
46	74.583
48	77.093
50	77.735
52	81.64
54	83.025
56	86.186
58	87.04
60	92.949
62	92.919
64	95.999
66	94.459
68	100.485
70	103.059
