time (s)	frame	L(t) (um)
0	140	73.965
0.2	141	73.382
0.4	142	73.382
0.6	143	72.533
0.8	144	71.503
1	145	71.042
1.2	146	71.042
1.4	147	70.836
1.6	148	70.545
1.8	149	70.254
2	150	69.636
2.2	151	69.636
2.4	152	69.43
2.6	153	69.224
2.8	154	69.224
3	155	68.812
3.2	156	68.812
3.4	157	68.606
3.6	158	68.315
3.8	159	68.315
4	160	67.664
4.2	161	67.664
4.4	162	67.458
4.6	163	66.997
4.8	164	66.997
5	165	66.706
5.2	166	66.5
5.4	167	66.5
5.6	168	66.294
5.8	169	65.643
6	170	65.231
6.2	171	65.025
6.4	172	64.734
6.6	173	64.528
6.8	174	64.322
7	175	64.031
7.2	176	63.413
7.4	177	63.413
7.6	178	63.001
7.8	179	63.001
8	180	62.127
8.2	181	61.715
8.4	182	61.509
8.6	183	61.218
8.8	184	61.012
9	185	60.806
9.2	186	60.394
9.4	187	60.103
9.6	188	59.812
9.8	189	59.812
10	190	59.351
10.2	191	59.351
10.4	192	59.351
10.6	193	59.351
10.8	194	59.145
11	195	58.939
11.2	196	58.733
11.4	197	58.442
11.6	198	58.442
11.8	199	58.03
12	200	58.03
12.2	201	57.824
12.4	202	57.412
12.6	203	57.412
12.8	204	57.412
13	205	57.206
13.2	206	57
13.4	207	57
13.6	208	56.794
13.8	209	56.794
14	210	56.588
14.2	211	55.97
14.4	212	55.679
14.6	213	55.679
14.8	214	55.473
15	215	55.267
15.2	216	54.806
15.4	217	54.188
15.6	218	54.188
15.8	219	54.188
16	220	53.727
16.2	221	53.727
16.4	222	53.727
16.6	223	53.076
16.8	224	53.076
17	225	53.076
17.2	226	53.076
17.4	227	52.252
17.6	228	52.252
17.8	229	52.252
18	230	52.046
18.2	231	52.046
18.4	232	52.046
18.6	233	52.046
18.8	234	51.84
19	235	51.634
19.2	236	51.428
19.4	237	51.222
19.6	238	50.81
19.8	239	50.81
20	240	50.604
20.2	241	50.192
20.4	242	49.986
20.6	243	49.986
20.8	244	49.78
21	245	49.574
21.2	246	49.368
