time (s)	frame	L(t) (um)
0	199	93.16
0.2	200	92.748
0.4	201	91.827
0.6	202	91.415
0.8	203	90.591
1	204	88.49
1.2	205	88.284
1.4	206	87.666
1.6	207	87.205
1.8	208	86.793
2	209	85.944
2.2	210	85.326
2.4	211	84.914
2.6	212	84.502
2.8	213	83.759
3	214	83.347
3.2	215	82.935
3.4	216	82.523
3.6	217	81.699
3.8	218	81.699
4	219	81.081
4.2	220	80.031
4.4	221	79.74
4.6	222	79.534
4.8	223	79.328
5	224	78.71
5.2	225	78.298
5.4	226	77.886
5.6	227	77.037
5.8	228	77.037
6	229	76.386
6.2	230	76.18
6.4	231	75.768
6.6	232	75.356
6.8	233	75.15
7	234	75.15
7.2	235	75.15
7.4	236	74.1
7.6	237	73.251
7.8	238	72.79
8	239	72.378
8.2	240	71.917
8.4	241	71.093
8.6	242	71.093
8.8	243	71.093
9	244	71.093
9.2	245	69.857
9.4	246	69.445
9.6	247	69.033
9.8	248	69.033
10	249	68.572
10.2	250	68.111
10.4	251	68.111
10.6	252	67.699
10.8	253	66.875
11	254	66.463
11.2	255	66.463
11.4	256	65.72
11.6	257	64.799
11.8	258	64.799
12	259	64.593
12.2	260	63.975
12.4	261	63.769
12.6	262	63.308
12.8	263	62.847
13	264	62.847
13.2	265	62.104
13.4	266	61.486
13.6	267	60.662
13.8	268	60.201
14	269	59.789
14.2	270	59.583
14.4	271	59.377
14.6	272	58.759
14.8	273	58.347
15	274	57.886
15.2	275	57.268
15.4	276	57.268
15.6	277	57.062
15.8	278	56.238
16	279	56.238
16.2	280	56.032
16.4	281	55.62
16.6	282	55.208
16.8	283	54.384
17	284	54.178
17.2	285	53.527
17.4	286	52.784
17.6	287	52.784
17.8	288	52.493
18	289	52.202
18.2	290	51.79
18.4	291	50.941
18.6	292	50.529
18.8	293	50.529
19	294	50.323
19.2	295	50.117
19.4	296	49.466
19.6	297	48.815
19.8	298	48.164
20	299	47.958
20.2	300	47.497
20.4	301	46.673
20.6	302	46.382
20.8	303	46.176
21	304	45.715
21.2	305	45.254
21.4	306	45.254
21.6	307	44.636
21.8	308	43.985
22	309	43.985
22.2	310	43.334
22.4	311	43.043
22.6	312	42.219
22.8	313	42.219
23	314	42.013
23.2	315	41.601
23.4	316	40.752
23.6	317	40.752
23.8	318	40.546
24	319	39.803
24.2	320	39.185
24.4	321	38.724
24.6	322	38.263
24.8	323	38.057
25	324	37.596
25.2	325	37.596
25.4	326	37.184
25.6	327	36.566
25.8	328	36.154
26	329	35.863
26.2	330	35.657
26.4	331	35.245
26.6	332	35.039
26.8	333	34.578
27	334	33.754
27.2	335	33.011
27.4	336	32.428
27.6	337	31.777
27.8	338	31.777
28	339	31.571
28.2	340	31.365
28.4	341	30.904
28.6	342	30.698
28.8	343	30.08
29	344	29.462
29.2	345	28.638
29.4	346	28.638
29.6	347	28.638
29.8	348	28.02
30	349	28.02
30.2	350	27.814
30.4	351	26.705
30.6	352	26.087
30.8	353	26.087
31	354	25.436
31.2	355	25.145
31.4	356	24.527
31.6	357	23.274
31.8	358	23.274
32	359	23.274
32.2	360	22.425
32.4	361	21.964
32.6	362	21.346
32.8	363	21.346
33	364	20.885
33.2	365	20.142
33.4	366	19.092
33.6	367	19.092
33.8	368	18.801
34	369	18.595
34.2	370	17.977
34.4	371	17.394
34.6	372	17.394
34.8	373	16.473
35	374	15.22
35.2	375	14.569
35.4	376	13.333
35.6	377	13.333
35.8	378	12.921
36	379	12.921
36.2	380	12.072
36.4	381	11.421
36.6	382	10.597
36.8	383	9.773
37	384	8.924
37.2	385	6.033
