time (s)	s(t) (um)
0	23.251
2	25.403
4	27.2
6	30.299
8	31.399
10	34.007
12	36.851
14	40.614
16	42.964
18	45.813
20	49.068
22	49.561
24	53.018
26	56.739
28	58.152
30	58.855
32	59.691
34	62.873
36	67.902
38	72.189
40	73.882
42	80.848
44	83.474
46	85.397
48	90.976
50	93.472
52	98.026
54	100.178
56	101.952
58	107.982
60	110.676
62	109.667
64	112.882
66	113.92
68	116.002
70	124.636
72	123.829
74	131.074
76	133.171
78	139.385
80	142.621
82	145.855
84	151.203
86	152.199
88	158.243
90	164.641
92	166.519
94	167.677
96	166.799
98	173.926
100	179.081
102	182.279
104	186.873
106	192.832
108	196.378
110	203.574
112	201.824
114	205.751
116	214.804
118	214.039
120	215.102
122	219.288
124	229.263
126	226.013
128	232.695
130	235.698
132	238.754
134	241.976
136	248.839
