time (s)	s(t) (um)
0	24.637
2	26.726
4	27.588
6	31.008
8	34.123
10	34.41
12	41.697
14	43.331
16	44.298
18	44.009
20	51.847
22	53.578
24	58.393
26	61.606
28	65.6
30	62.698
32	66.704
34	71.011
36	75.332
38	77.217
40	80.481
42	81.038
44	86.453
46	90.123
48	95.125
50	101.573
52	104.25
54	110.89
56	108.589
58	112.401
60	118.338
62	122.299
64	125.082
66	136.9
68	141.918
70	139.403
72	142.238
74	144.197
76	150.74
78	151.434
80	165.183
