event,time_s,connection_C,movement_M,liquidity_M_minus_C,unresolved_H,phase_coherence_ARA,source_evidence
GW190412,-0.21879887580871582,0.9029371084533399,0.8513546497437149,-0.05158245870962497,0.24570824180294537,0.9716865999511838,0.08561846780141016
GW190412,-0.21489262580871582,0.9029371084533399,0.7754454478886991,-0.12749166056464079,0.3216174436579612,1.0590676104466683,0.09331789293904011
GW190412,-0.21098637580871582,0.9029371084533399,0.7647058823529411,-0.13823122610039873,0.33235700919371913,0.9902367586038565,0.08725298263509697
GW190412,-0.20708012580871582,0.7771540151330241,0.7207712960702953,-0.05638271906272874,0.5020746887966806,0.7027092994874298,0.04553803246617344
GW190412,-0.20317387580871582,0.6454316166300545,0.7207712960702953,0.07533967944024078,0.6337970872996502,0.26726873321942884,0.0019244392555462834
GW190412,-0.19926762580871582,0.6454316166300545,0.7202831340004882,0.0748515173704336,0.6342852493694574,0.01684159140834757,3.905177407354195e-05
GW190412,-0.19536137580871582,0.6454316166300545,0.7202831340004882,0.0748515173704336,0.6342852493694574,0.17110080546741518,0.0
GW190412,-0.19145512580871582,0.6454316166300545,0.7063705150109836,0.06093889838092903,0.648197868358962,0.46643885770075666,0.0
GW190412,-0.18754887580871582,0.6739890977137742,0.693678301195997,0.019689203482222806,0.6323326010902288,0.6011715889675372,0.0
GW190412,-0.18364262580871582,0.6892848425677326,0.693678301195997,0.004393458628264457,0.6170368562362702,0.589455699292165,0.0
GW190412,-0.17973637580871582,0.7023838581075584,0.693678301195997,-0.008705556911561385,0.6039378406964444,0.5972662924090798,0.0
GW190412,-0.17583012580871582,0.7417622650720039,0.693678301195997,-0.048083963876006885,0.564559433731999,0.7720283134000488,0.0
GW190412,-0.17192387580871582,0.8480188756000325,0.7036856236270441,-0.1443332519729884,0.44829550077292324,1.0707835001220405,0.0
GW190412,-0.16801762580871582,0.8906516963631925,0.7515255064681474,-0.1391261898950451,0.35782279716866006,1.2587258969978032,0.0
GW190412,-0.16411137580871582,0.9467903343910179,0.7515255064681474,-0.19526482792287048,0.3016841591408346,1.2958262143031487,0.0
GW190412,-0.16020512580871582,0.9698153120169231,0.7515255064681474,-0.21828980554877564,0.2786591815149295,1.2484744935318526,0.0
