old_centre_s,mobile_centre_s,new_centre_s,ordering_margin_s,ordered,permutation_rank,desired_order_log_score,order_advantage_log_score,old_to_mobile_boundary_s,mobile_to_new_boundary_s,state_time_rho,unresolved_middle_mean,unresolved_outer_mean,early_old_share,middle_mobile_share,late_new_share,window_start_s,window_end_s,n_frames,median_detector_shape_agreement,lag_ms,lag_amount_correlation,event,role
-0.12792057447878458,-0.11495855972459923,-0.12882692910780374,-0.013868369383204515,True,1,-5.338193903927463,0.03305221970941652,-0.07504892349243164,0.11635732650756836,-0.09239634439929827,,0.4136753421156464,0.30108095639119015,0.5832970634876642,0.24928610060219503,-0.5,0.2,179,1.6181486893712207,8.0,0.10346892530961353,GW150914,leave_one_event_out_development
-0.17337141582366727,-0.1357011757424333,-0.18076665661013933,-0.04506548086770604,True,1,-8.48228599977866,0.00443936268174383,-0.02817392349243164,0.03823232650756836,-0.2685257943308597,,0.3017352007164095,0.27484461986063696,0.32474753616143204,0.1886147471642739,-0.5,0.2,179,1.6147305743750966,8.0,0.3163298225873916,GW151012,leave_one_event_out_development
-0.14184714636387405,-0.12482305964751858,-0.1480479756388129,-0.02322491599129431,False,4,-7.921723146641446,-0.005209372614994656,-0.0016112327575683594,0.03354501724243164,-0.16405396049264082,,0.3079420376835419,0.2510081085854375,0.34244385637922714,0.28515363463459475,-0.5,0.2,179,1.6310114336501658,8.0,0.18592429031511581,GW151226,leave_one_event_out_development
-0.08250284671951326,-0.07062090073066586,-0.08396197920958347,-0.013341078478917606,False,3,-15.617025788097937,-0.0024909424459789165,0.02963876724243164,0.06088876724243164,-0.0318660910954347,,0.3762476833711834,0.099793185211487,0.23164102762456437,0.03221601502572137,-0.5,0.2,179,1.4977304961215092,-8.0,0.15055783940271364,GW170104,leave_one_event_out_development
-0.13419155798358876,-0.12096655378464637,-0.134772012476451,-0.01380545869180462,True,1,-5.285532100761484,0.01571460565330618,-0.104736328125,0.024169921875,0.06287959887293267,,0.33740026539470896,0.28954481069261406,0.4866689968195604,0.3051195829996442,-0.5,0.2,180,1.6090225240178566,-4.0,0.2291627637032314,GW170608,leave_one_event_out_development
-0.19795162888302748,-0.152587867622556,-0.21021101462213188,-0.05762314699957588,False,2,-10.413078797408547,-0.0052941023996648795,-0.04926753044128418,0.02885746955871582,-0.09041109754388452,,0.36848603645040834,0.21575743696756938,0.27260863264674073,0.18046528611055507,-0.5,0.2,179,1.6528441983764512,0.0,0.4057301496519174,GW170729,leave_one_event_out_development
-0.07106555623503831,-0.060818430389323434,-0.07172979955492215,-0.010911369165598712,False,2,-11.29305523703604,-0.0017592888677047114,-0.09223628044128418,-0.03754878044128418,-0.03373328284886282,,0.32811475708409304,0.1820349706210067,0.2106806379442395,0.16148194954565626,-0.5,0.2,179,1.61270789666388,-8.0,0.16679896913918568,GW170809,leave_one_event_out_development
-0.4934593997853479,-0.49424891687267725,-0.49343063072383025,-0.0007895170873293278,True,1,-20.195391451971318,0.0,-0.468017578125,-0.436767578125,-0.2846202319774309,,0.917409494690801,0.024428629813738386,0.0,0.0,-0.5,0.2,180,1.4568951669908368,0.0,0.8802569302167731,GW170814,leave_one_event_out_development
-0.16612832440096617,-0.1535241740399762,-0.17070927526686008,-0.01718510122688388,True,1,-10.270972335355962,0.019300942145857647,-0.05239248275756836,0.13901376724243164,0.03780275380189037,,0.3401300747424122,0.19843820310682686,0.34335479783850975,0.18938096532194054,-0.5,0.2,179,1.5913611879995657,-8.0,0.23980432355530334,GW170818,leave_one_event_out_development
-0.029107810153681968,-0.015251948077058047,-0.034281109145095835,-0.019029161068037787,False,2,-12.729688324445927,-0.011811499717982343,-0.030517578125,0.031982421875,0.2516657520199139,,0.30938416167661154,0.1139051233050059,0.2826840534125509,0.27183398338863113,-0.5,0.2,180,1.574590162775424,-8.0,0.20937086120676693,GW170823,leave_one_event_out_development
