event,time_s,old_affinity,mobile_affinity,new_affinity,old_share_bookkeeping,mobile_share_bookkeeping,new_share_bookkeeping,unresolved_H,amount_ARA,concentration_ARA,movement_ARA,frequency_ARA,detector_shape_agreement_ARA,detector_phase_coherence_ARA,source_evidence
GW150914,-0.49692392349243164,0.9331661444831681,0.6457289475662636,0.9308470308984647,0.371817540914011,0.2572889627431304,0.3708934963424601,0.06683385551683185,1.329997559189651,1.0034171344886502,0.9033439101781792,1.2680009763241396,1.5966947160747442,0.39272638515987307,0.06479937426606643
GW150914,-0.49301767349243164,0.9177471285944984,0.5686483483141943,0.8949625682996248,0.3853881319698104,0.23879162121721642,0.3758202468125531,0.08225287140550164,1.329997559189651,1.0624847449353185,0.9826702465218453,1.308030266048328,1.590589326238896,0.3458628264583842,0.05706694427285029
GW150914,-0.48911142349243164,0.8683761017255271,0.5619676639945304,0.851579095463705,0.3805457741348324,0.24626935184950102,0.3731848740152284,0.13162389827447285,1.329997559189651,1.1379057847205272,0.9826702465218453,1.3065657798389065,1.5899842095735846,0.4708323163290212,0.0776867575880933
GW150914,-0.48520517349243164,0.7734595248036492,0.544441773073712,0.7811625054922682,0.36847832998770463,0.25937361799077263,0.37214805202104617,0.21883749450773182,1.17891139858433,1.262387112521357,0.9826702465218453,1.2965584574078595,1.5871815206781583,0.7442030754210398,0.06657320652716894
GW150914,-0.48129892349243164,0.7249873452904512,0.544441773073712,0.7135196880808359,0.3656107222403951,0.2745616887858565,0.3598275889732441,0.27501265470954883,1.0905540639492313,1.405174517939956,0.9826702465218453,1.2824017573834514,1.5457147027792886,1.0844520380766414,0.049100769602933185
GW150914,-0.47739267349243164,0.7249873452904512,0.544441773073712,0.6556277362124139,0.3766056797577223,0.28281854210128304,0.3405757781404752,0.27501265470954883,1.0502806931901392,1.466927019770564,1.074688796680498,1.2396875762753234,1.4699254717044599,1.427141811081279,0.035878839770898674
GW150914,-0.47348642349243164,0.606994487926363,0.544441773073712,0.5633360112618989,0.3539796495107285,0.31750091943999986,0.32851943104868847,0.393005512073637,1.0502806931901392,1.4996338784476446,1.0422260190383208,1.1359531364412985,1.3513966975504703,1.6180131803758848,0.04067741215004059
GW150914,-0.46958017349243164,0.606994487926363,0.563212990810668,0.5535931233628164,0.3521256966650323,0.326727459152911,0.3211468441814766,0.393005512073637,1.0986087381010496,1.6062972907005126,1.3624603368318282,0.9201855015865268,1.2844856263994502,1.6887966804979253,0.08326505478657097
GW150914,-0.46567392349243164,0.606994487926363,0.6519440810713178,0.5296715708682306,0.33936656982808383,0.3644975875625016,0.2961358426088554,0.34805591892868215,1.1405906761044666,1.6062972907005126,1.0009763241396143,0.6980717598242616,1.3329008021277953,1.6609714425189164,0.11675854904697285
GW150914,-0.46176767349243164,0.6243555938891326,0.6519440810713178,0.5296715708682306,0.34571735033483186,0.36099361082120013,0.2932890388434143,0.34805591892868215,1.177202831340005,1.6062972907005126,1.1325360019526483,0.5994630217232122,1.4334354492507928,1.5750549182328533,0.13955209551343076
GW150914,-0.45786142349243164,0.6243555938891326,0.6519440810713178,0.52058695529419,0.34746521198185243,0.3628187054731253,0.2897160825444657,0.34805591892868215,1.2018550158652672,1.513546497437149,1.2284598486697584,0.5923846717110081,1.5129621566984348,1.4705882352941178,0.14842280578328473
GW150914,-0.45395517349243164,0.6243555938891326,0.6519440810713178,0.5171364418538563,0.3481337238807433,0.36351675699996894,0.28834951911873,0.34805591892868215,1.2213814986575544,1.3036368074200635,1.364412985111057,0.5875030510129363,1.543168263670377,1.4168904076153284,0.15683666093569726
GW150914,-0.45004892349243164,0.6243555938891326,0.588025440027377,0.5171364418538563,0.36099987576631426,0.33999392793941974,0.29900619629368763,0.37564440611086736,1.2230900659018795,0.9150597998535513,1.3165731022699536,0.5682206492555528,1.5543263844610766,1.4671711008054673,0.1636556487840124
GW150914,-0.44614267349243164,0.6243555938891326,0.48390319673441495,0.52058695529419,0.3833116766603149,0.2970835009680264,0.3196048223710447,0.37564440611086736,1.2230900659018795,0.6763485477178424,1.3556260678545278,0.5682206492555528,1.582959185165843,1.5916524286062972,0.17754092259533272
GW150914,-0.44223642349243164,0.6248164553296734,0.446678745201589,0.522286212828424,0.3920339703373565,0.2802634925072387,0.32770253715477743,0.37518354467032655,1.222845984866976,0.5430803026604832,1.2528679521601171,0.5682206492555528,1.6321858878623716,1.710275811569441,0.19056404881167932
GW150914,-0.43833017349243164,0.5927941013045993,0.4394588527996135,0.5417586817211186,0.37661354453291046,0.2791966989296775,0.3441897565367767,0.4072058986954007,1.2870392970466193,0.5311203319502075,1.2528679521601171,0.4742494508176715,1.7060494968466433,1.7703197461557236,0.25407566774214424
GW150914,-0.43442392349243164,0.5927941013045993,0.4394588527996135,0.5417586817211186,0.37661354453291046,0.2791966989296775,0.3441897565367767,0.4072058986954007,1.3097388332926532,0.49865755430803027,1.1393702709299487,0.37124725408835735,1.7394933455381818,1.79863314620454,0.27855326611344416
GW150914,-0.43051767349243164,0.5927941013045993,0.4394588527996135,0.5417586817211186,0.37661354453291046,0.2791966989296775,0.3441897565367767,0.4072058986954007,1.0859165242860631,0.49865755430803027,1.1003173053453748,0.3021723212106419,1.7605437464562865,1.8166951427874054,0.0780420661778335
GW150914,-0.42661142349243164,0.5927941013045993,0.4394588527996135,0.5417586817211186,0.37661354453291046,0.2791966989296775,0.3441897565367767,0.4072058986954007,0.8938247498169392,0.49524041981938005,1.1003173053453748,0.2438369538686844,1.7733103835079673,1.8342689773004637,0.0
GW150914,-0.42270517349243164,0.591312401932449,0.42099265185389945,0.522286212828424,0.38532240785943456,0.27433536278511,0.34034222935480374,0.40868759806755095,0.8938247498169392,0.5240419819380034,1.234073712472541,0.2438369538686844,1.7705811155788074,1.8425677324871856,0.0
GW150914,-0.41879892349243164,0.5737495297620527,0.432266526258115,0.520785674424199,0.3757852236614183,0.28311896537608927,0.34109581096183733,0.42625047023794727,0.8520868928484258,0.561630461313156,1.4322675128142544,0.2438369538686844,1.785403061819618,1.8235294117647058,0.0
