x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.05,0.025,0.975,0.48340517241380465,0.4915948275861953,0.475,0.9916003536693428,1.008399646330657,0.745689655172374
0.055,0.0275,0.9725,0.48175389273354835,0.4907461072664517,0.4725,0.9907535069070402,1.0092464930929597,0.7452422145328643
0.06,0.03,0.97,0.4801041666666584,0.4898958333333416,0.47,0.9899054982817699,1.0100945017182301,0.7447916666666534
0.065,0.0325,0.9675,0.478456010452957,0.48904398954704303,0.4675,0.9890563523575338,1.0109436476424662,0.7443379790940681
0.07,0.035,0.965,0.47680944055943403,0.48819055944056594,0.46499999999999997,0.9882060944236974,1.0117939055763026,0.7438811188811133
0.075,0.0375,0.9625,0.47516447368421183,0.4873355263157882,0.4625,0.987354750512648,1.0126452494873521,0.7434210526315786
0.08,0.04,0.96,0.47352112676056485,0.4864788732394351,0.46,0.9865023474178435,1.0134976525821566,0.74295774647886
0.08499999999999999,0.042499999999999996,0.9575,0.4718794169611269,0.4856205830388731,0.4575,0.9856489127125366,1.0143510872874635,0.7424911660777396
0.09,0.045,0.955,0.47023936170212655,0.4847606382978734,0.455,0.9847944747688514,1.0152055252311485,0.7420212765957449
0.095,0.0475,0.9525,0.46860097864767897,0.48389902135232105,0.4525,0.9839390627772786,1.0160609372227214,0.741548042704622
0.09999999999999999,0.049999999999999996,0.95,0.4669642857142805,0.48303571428571945,0.45,0.9830827067669063,1.0169172932330937,0.741071428571434
0.105,0.0525,0.9475,0.4653293010752647,0.4821706989247353,0.4475,0.9822254376258885,1.0177745623741115,0.7405913978494643
0.10999999999999999,0.05499999999999999,0.9450000000000001,0.4636960431654629,0.48130395683453714,0.445,0.9813672871226727,1.0186327128773272,0.740107913669067
0.11499999999999999,0.057499999999999996,0.9425,0.46206453068591663,0.4804354693140834,0.4425,0.9805082879276745,1.0194917120723255,0.7396209386281526
0.12,0.06,0.94,0.46043478260869397,0.479565217391306,0.44,0.9796484736355191,1.020351526364481,0.7391304347826083
0.12499999999999999,0.06249999999999999,0.9375,0.45880681818181696,0.47869318181818304,0.4375,0.9787878787878762,1.021212121212124,0.7386363636363614
0.13,0.065,0.935,0.4571806569343039,0.4778193430656962,0.435,0.9779265388969066,1.0220734611030933,0.7381386861313896
