component,child_coordinate_or_mean,parent_energy_share,internal_neutral_ara,role
charged daughter e+,0.49019,0.245095,,charged child
electron neutrino nu_e,0.6930359939741135,0.34651799698705676,0.9180439843081097,neutral child 1
anti-muon neutrino anti_nu_mu,0.8167740060258863,0.4083870030129432,1.0819560156918901,neutral child 2
joint neutrino pair,1.5098099999999999,0.7549049999999999,2.0,paired neutral branch
