run,period,field_G,windows,handover_time_us,handover_parent_ARA,handover_amount_A,handover_balance_B,handover_R,handover_I,saturation_time_us,saturation_parent_ARA,eligible,ordered,lead_us,nearest_same_time_us,nearest_same_distance_us,nearest_mirror_time_us,nearest_mirror_distance_us,same_meeting_count,mirror_meeting_count
EMU00069983,RF off,50.0,59,2.788808559671374,1.4360161503983953,1.2186930875891817,0.9999601676341094,1.2186930875891817,1.2186930875891817,3.243000030517578,1.5411061483839812,1,1,0.45419147084620404,2.740481472577,0.048327087094373944,2.778563802842,0.01024475682937398,19,29
EMU00069983,RF on,50.0,59,3.0699138259291687,1.5035539397420217,1.2597772287173192,0.9985243006961031,1.2597772287173192,1.2597772287173192,5.867000102996826,1.8605486424561584,1,1,2.7970862770676574,2.988207859988,0.08170596594116875,3.090624202593,0.020710376663831465,36,33
EMU00069989,RF off,86.0,59,2.9464301104256587,1.4749268779299487,1.1843243970464725,0.9980650216664128,1.1843243970464727,1.1843243970464723,5.2270002365112305,1.8135377649945588,1,1,2.2805701260855717,2.99393345264,0.04750334221434116,2.987589947262,0.04115983683634106,34,29
EMU00069989,RF on,86.0,59,2.648341246358256,1.3988540242608267,1.2256086274390254,0.9982027330978482,1.2256086274390254,1.2256086274390252,5.611000061035156,1.8433645637903782,1,1,2.9626588146769004,2.700786538459,0.05244529210074411,2.700810816481,0.052469570122744,28,18
EMU00069995,RF off,122.0,59,2.6991897493855523,1.412559892193817,1.1188889140250626,0.9967271455185476,1.1188889140250622,1.1188889140250629,4.203000068664551,1.703202674377213,1,1,1.5038103192789984,2.841095167132,0.1419054177464476,2.820502558925,0.12131280953944756,21,22
EMU00069995,RF on,122.0,59,2.893160953031233,1.4620717325763013,1.149525923141339,1.000121863731504,1.1495259231413393,1.149525923141339,5.163000106811523,1.8080413320278101,1,1,2.2698391537802904,2.838628986083,0.054531966948232924,2.898861561115,0.005700608083766934,18,15
EMU00070001,RF off,158.0,59,2.649252945292665,1.39910430315433,1.0866533879926767,1.000004447572174,1.086653387992677,1.0866533879926767,4.011000156402588,1.6761749691148449,1,1,1.3617472111099227,2.837509476183,0.18825653089033478,2.709663335589,0.06041039029633488,27,24
EMU00070001,RF on,158.0,59,3.0236912679093852,1.4930195985627928,1.1356330375299415,0.9991383731422934,1.1356330375299413,1.1356330375299415,nan,nan,0,0,nan,3.004710455573,0.018980812336385267,3.095433592711,0.07174232480161491,24,18
EMU00070007,RF off,194.0,59,2.7824778435190782,1.4343763462395531,1.1452350063707148,0.9991842290757396,1.1452350063707146,1.145235006370715,5.547000408172607,1.838747383977896,1,1,2.764522564653529,2.746779103445,0.03569874007407803,2.704602102843,0.07787574067607839,20,28
EMU00070007,RF on,194.0,59,2.9065815538465345,1.4653517600910826,1.1780362002414975,0.9992424326736267,1.1780362002414972,1.1780362002414977,3.883000135421753,1.6568025495947836,1,1,0.9764185815752184,2.818123811215,0.0884577426315345,2.623216232279,0.2833653215675347,13,19
EMU00070013,RF off,230.0,59,2.725068934320637,1.419460805228419,1.059728832838276,0.999929918344718,1.0597288328382757,1.059728832838276,4.203000068664551,1.703202674377213,1,1,1.4779311343439137,3.053353602924,0.3282846686033629,2.839878234607,0.11480930028636305,15,18
EMU00070013,RF on,230.0,59,2.6478949701869228,1.3987315128679287,1.268109056853397,0.9998714050976197,1.2681090568533973,1.2681090568533968,4.651000022888184,1.7578177685025949,1,1,2.003105052701261,2.609059439716,0.03883553047092292,2.650346548708,0.0024515785210770247,22,22
EMU00070019,RF off,266.0,59,2.751146198293279,1.4262607143096648,0.9316023377728722,0.9981280760568645,0.9316023377728719,0.9316023377728725,3.562999963760376,1.60314836912814,1,1,0.811853765467097,2.950461863639,0.1993156653457211,2.84509763605,0.09395143775672121,18,22
EMU00070019,RF on,266.0,59,2.508466094793365,1.359436258650619,1.1030138307900494,0.9998886266971829,1.1030138307900494,1.1030138307900494,3.434999942779541,1.5794072263898669,1,1,0.926533847986176,2.442908918787,0.06555717600636513,2.300889731926,0.20757636286736503,22,20
EMU00070025,RF off,302.0,59,nan,nan,nan,nan,nan,nan,4.075000286102295,1.6854471869001517,0,0,nan,nan,nan,nan,nan,23,19
EMU00070025,RF on,302.0,59,2.491491585338025,1.3544976609622217,1.0703395951880883,0.999210489915394,1.0703395951880885,1.070339595188088,4.587000370025635,1.750678905565378,1,1,2.0955087846876097,2.577432620047,0.08594103470897485,2.579224585839,0.08773300050097488,27,24
EMU00070031,RF off,338.0,59,nan,nan,nan,nan,nan,nan,3.434999942779541,1.5794072263898669,0,0,nan,nan,nan,nan,nan,24,21
