run,period,field_G,classification,crossing_time_us,crossing_parent_ARA,saturation_time_us,lead_us,start_balance_B,start_R,start_I
EMU00069986,RF off,68.0,fully observed,2.9889353362114,1.4850046484066943,3.9469997882843018,0.9580644520729016,0.7412428656452323,1.3751667357048414,0.8097928536755442
EMU00069986,RF on,68.0,fully observed,2.9041875760333737,1.4647666660848597,3.819000005722046,0.9148124296886722,0.6262158768656491,1.481912189907848,0.6755041973577306
EMU00069992,RF off,104.0,fully observed,2.9365866806068603,1.472590004671986,4.651000022888184,1.7144133422813232,0.579710281490496,1.3913550397752172,0.5679002046197618
EMU00069992,RF on,104.0,fully observed,3.0977839583044893,1.509796950794521,4.267000198364258,1.1692162400597685,0.3760265828915694,1.6276775827142904,0.3768842722600889
EMU00069998,RF off,140.0,fully observed,3.032341740531303,1.4950144553686424,4.523000240325928,1.4906584997946246,0.7724321246174904,1.3743886786315958,0.8648173256852297
EMU00069998,RF on,140.0,fully observed,3.3193411646797406,1.5567069988780688,4.715000152587891,1.39565898790815,0.4992774074642914,1.504678361665467,0.5005934575890485
EMU00070004,RF off,176.0,fully observed,2.5725776238217355,1.3778092718634232,5.163000106811523,2.590422482989788,0.7527319672130085,1.3725148144760508,0.8283189732849883
EMU00070004,RF on,176.0,fully observed,3.063145547874826,1.5020378208326954,4.203000068664551,1.1398545207897248,0.7340785733761926,1.3713628673293081,0.7952216275497753
EMU00070010,RF off,212.0,not recovered,nan,nan,4.331000328063965,nan,0.8304888761290729,1.1075688320225932,0.786502646932822
EMU00070010,RF on,212.0,fully observed,2.8314665567261197,1.4467951119776088,3.690999984741211,0.8595334280150912,0.6845194574012106,1.3810280117491924,0.7186275392493094
EMU00070016,RF off,248.0,left-censored: boundary crossing,2.346959436672772,1.310783303259086,3.562999963760376,1.2160405270876038,0.8949696572908329,1.2106155687041436,0.9804836652518473
EMU00070016,RF on,248.0,fully observed,2.403826174667015,1.3283183721198495,3.371000051498413,0.967173876831398,0.8081393527567701,1.2192466358813663,0.826708381932812
EMU00070022,RF off,284.0,left-censored: boundary crossing,2.333033887682735,1.3063628256256992,4.523000240325928,2.189966352643193,0.9729026732908428,1.0607877158368455,1.0048153935308315
EMU00070022,RF on,284.0,left-censored: boundary crossing,2.328338988214831,1.3048724931365658,3.562999963760376,1.234660975545545,0.9541853071416974,1.1236646477014727,1.0252144135218428
EMU00070028,RF off,320.0,fully observed,2.5476191649628257,1.3707557281449347,3.562999963760376,1.0153807987975503,0.8649662037159975,1.1382084370597612,0.8673854770352811
EMU00070028,RF on,320.0,not recovered,nan,nan,3.819000005722046,nan,0.9985206475226275,1.1651053876024409,1.161663276614757
EMU00070034,RF off,356.0,fully observed,2.498472719331174,1.3565287660313647,3.690999984741211,1.1925272654100367,0.904796959032772,1.1748483867360693,0.9705955954107569
EMU00070034,RF on,356.0,fully observed,2.411039456714251,1.330542219423191,4.523000240325928,2.1119607836116767,0.8579206673455562,1.2058383563939734,0.9058159252595936
EMU00070040,RF off,392.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,3.306999921798706,1.0239999294281006,1.0490372897583244,1.0146094148588913,1.119247999173811
EMU00070040,RF on,392.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,3.371000051498413,1.0880000591278076,1.1927049151419273,0.8633982987881463,1.2755923007645151
EMU00070046,RF off,428.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,4.715000152587891,2.432000160217285,1.1336305303647407,0.9738269678828043,1.2742369402160147
EMU00070046,RF on,428.0,fully observed,2.5557587316527233,1.373056062064641,2.986999988555908,0.43124125690318493,0.8691313353477527,1.1647234393174108,0.8951504889702895
EMU00070052,RF off,464.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,4.587000370025635,2.3040003776550293,1.1116699744380198,1.0205031468975132,1.2770734688472327
EMU00070052,RF on,464.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,2.7309999465942383,0.4479999542236328,1.3750719661671655,0.7932869317640134,1.7455235834205292
EMU00070058,RF off,500.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,3.115000009536743,0.8320000171661377,1.0718051994250108,1.0904711280057953,1.2591889375974954
EMU00070058,RF on,500.0,left-censored: already I-leading,2.2829999923706055,1.290480240652085,3.499000072479248,1.2160000801086426,1.3122981271238041,0.837339454175039,1.5978420894585867
