run,period,field_G,windows,handover_time_us,handover_parent_ARA,handover_amount_A,handover_balance_B,handover_R,handover_I,saturation_time_us,saturation_parent_ARA,eligible,ordered,lead_us,nearest_same_time_us,nearest_same_distance_us,nearest_mirror_time_us,nearest_mirror_distance_us,same_meeting_count,mirror_meeting_count
EMU00069986,RF off,68.0,59,2.9889353362114,1.4850046484066943,1.0590368595234227,0.9997255352128536,1.059036859523423,1.0590368595234225,3.9469997882843018,1.666629393827122,1,1,0.9580644520729016,3.034916083814,0.04598074760259996,3.031900366771,0.04296503055959988,26,17
EMU00069986,RF on,68.0,59,2.9041875760333737,1.4647666660848597,1.2063356391291975,0.9998325028382138,1.2063356391291977,1.2063356391291975,3.819000005722046,1.6466859606755517,1,1,0.9148124296886722,2.934136245187,0.029948669153626373,2.88825268536,0.015934890673373836,20,15
EMU00069992,RF off,104.0,59,2.9365866806068603,1.472590004671986,1.131057828493861,0.9994502922901378,1.1310578284938613,1.1310578284938608,4.651000022888184,1.7578177685025949,1,1,1.7144133422813232,2.951198029639,0.014611349032139564,2.983590616694,0.047003936087139486,30,29
EMU00069992,RF on,104.0,59,3.0977839583044893,1.509796950794521,1.2008387063433272,0.9986446887254715,1.200838706343327,1.2008387063433277,4.267000198364258,1.7117009965536942,1,1,1.1692162400597685,3.121074633346,0.023290675041510944,3.158222303892,0.0604383455875106,26,27
EMU00069998,RF off,140.0,59,3.032341740531303,1.4950144553686424,1.115783488676663,0.9988520486538964,1.115783488676663,1.115783488676663,4.523000240325928,1.7433295531202766,1,1,1.4906584997946246,3.124143700078,0.09180195954669701,2.746483544099,0.28585819643230304,26,16
EMU00069998,RF on,140.0,59,3.3193411646797406,1.5567069988780688,1.1386387242697138,0.9993153563446634,1.138638724269714,1.1386387242697138,4.715000152587891,1.7647522738063923,1,1,1.39565898790815,3.292345888658,0.026995276021740455,3.332108268473,0.012767103793259515,27,28
EMU00070004,RF off,176.0,59,2.5725776238217355,1.3778092718634232,1.17521218073959,0.999745484300351,1.1752121807395899,1.1752121807395903,5.163000106811523,1.8080413320278101,1,1,2.590422482989788,2.512592849886,0.059984773935735536,2.651324592229,0.07874696840726436,23,23
EMU00070004,RF on,176.0,59,3.063145547874826,1.5020378208326954,1.0560419753338568,0.9986825532151302,1.0560419753338566,1.056041975333857,4.203000068664551,1.703202674377213,1,1,1.1398545207897248,3.006121935324,0.05702361255082611,3.057677588284,0.005467959590825799,26,24
EMU00070010,RF off,212.0,59,nan,nan,nan,nan,nan,nan,4.331000328063965,1.7199559827106756,0,0,nan,nan,nan,nan,nan,17,20
EMU00070010,RF on,212.0,59,2.8314665567261197,1.4467951119776088,1.2091700148531652,0.9975271522557861,1.209170014853165,1.2091700148531654,3.690999984741211,1.6255493988309917,1,1,0.8595334280150912,2.827190657045,0.004275899681119633,2.849645109529,0.018178552802880166,17,28
EMU00070016,RF off,248.0,59,nan,nan,nan,nan,nan,nan,3.562999963760376,1.60314836912814,0,0,nan,nan,nan,nan,nan,24,23
EMU00070016,RF on,248.0,59,2.403826174667015,1.3283183721198495,1.118900061578235,0.9995933056187603,1.1189000615782352,1.1189000615782347,3.371000051498413,1.5670092668313529,1,1,0.967173876831398,2.954200521063,0.5503743463959849,2.779743849981,0.375917675313985,20,18
EMU00070022,RF off,284.0,59,nan,nan,nan,nan,nan,nan,4.523000240325928,1.7433295531202766,0,0,nan,nan,nan,nan,nan,15,17
EMU00070022,RF on,284.0,59,nan,nan,nan,nan,nan,nan,3.562999963760376,1.60314836912814,0,0,nan,nan,nan,nan,nan,20,23
EMU00070028,RF off,320.0,59,2.5476191649628257,1.3707557281449347,1.0096480895116036,0.9993567518143918,1.0096480895116033,1.0096480895116038,3.562999963760376,1.60314836912814,1,1,1.0153807987975503,2.706540491967,0.15892132700417427,2.556116866928,0.008497701965174187,32,27
EMU00070028,RF on,320.0,59,nan,nan,nan,nan,nan,nan,3.819000005722046,1.6466859606755517,0,0,nan,nan,nan,nan,nan,22,26
EMU00070034,RF off,356.0,59,2.498472719331174,1.3565287660313647,1.1179692551400209,0.9992943350998912,1.117969255140021,1.1179692551400207,3.690999984741211,1.6255493988309917,1,1,1.1925272654100367,2.535066958333,0.0365942390018259,2.643179294263,0.14470657493182593,21,16
EMU00070034,RF on,356.0,59,2.411039456714251,1.330542219423191,1.1324515016471501,0.9999982301004492,1.1324515016471504,1.1324515016471504,4.523000240325928,1.7433295531202766,1,1,2.1119607836116767,2.459367982416,0.04832852570174895,2.424416644133,0.013377187418749159,10,19
EMU00070040,RF off,392.0,59,nan,nan,nan,nan,nan,nan,3.306999921798706,1.5542458000627855,0,0,nan,nan,nan,nan,nan,19,21
EMU00070040,RF on,392.0,59,nan,nan,nan,nan,nan,nan,3.371000051498413,1.5670092668313529,0,0,nan,nan,nan,nan,nan,25,23
EMU00070046,RF off,428.0,59,nan,nan,nan,nan,nan,nan,4.715000152587891,1.7647522738063923,0,0,nan,nan,nan,nan,nan,21,26
EMU00070046,RF on,428.0,59,2.5557587316527233,1.373056062064641,1.1075639231453183,0.9991144082154799,1.1075639231453183,1.1075639231453183,2.986999988555908,1.4845583443015913,1,1,0.43124125690318493,2.570825398152,0.015066666499276682,2.631346972289,0.0755882406362769,24,24
EMU00070052,RF off,464.0,59,nan,nan,nan,nan,nan,nan,4.587000370025635,1.750678905565378,0,0,nan,nan,nan,nan,nan,19,25
EMU00070052,RF on,464.0,59,nan,nan,nan,nan,nan,nan,2.7309999465942383,1.4210423619895745,0,0,nan,nan,nan,nan,nan,18,22
EMU00070058,RF off,500.0,59,nan,nan,nan,nan,nan,nan,3.115000009536743,1.5136534089080294,0,0,nan,nan,nan,nan,nan,18,26
EMU00070058,RF on,500.0,59,nan,nan,nan,nan,nan,nan,3.499000072479248,1.5914502354962952,0,0,nan,nan,nan,nan,nan,26,31
