split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,rational_closure_R,irrational_unresolved_I,coupled_amount_A,coupled_balance_B,handover_time_us,saturation_time_us
validation,EMU00070022,RF off,284.0,2.2829999923706055,1.290480240652085,1.1272763792470595,1.2396585554624646,1.0607877158368455,1.0048153935308315,1.0328015546838385,0.9729026732908428,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.3469998836517334,1.3107961426068178,0.9692210728815362,1.1281024657376777,1.026874646297649,1.0424982395202973,1.0346864429089733,1.0075499168514839,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.4110000133514404,1.3305304054176792,0.7585649265504801,1.1138541289022252,1.0114738449678542,1.1120603011406813,1.0617670730542677,1.0473674776349176,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.4749999046325684,1.3496995384347905,0.8043553280537497,1.0183098597866826,1.0166514350585723,1.203420062785407,1.1100357489219896,1.0841273030657486,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.5390000343322754,1.3683198640131937,0.7229605491542807,1.187897246877004,1.001365466419828,1.1375405123445834,1.0694529893822056,1.0636657465436403,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.6029999256134033,1.3864069596019823,0.6880449954135045,1.1643204710236978,0.9689475188775123,1.149729728234405,1.0593386235559588,1.0853278665276844,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.6670000553131104,1.4039762262104571,0.7943021004366264,0.9592182992663523,0.9538942174082354,1.197212799409419,1.0755535084088272,1.1131131924626585,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.7309999465942383,1.4210423619895745,1.0169299823579252,1.2330653879617868,0.9313659267850698,1.2985928881323812,1.1149794074587254,1.1646788088150144,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.7950000762939453,1.4376198986099702,1.013443566016724,1.2003314033777615,0.9268656829533444,1.2196803136161043,1.0732729982847244,1.1364119991514703,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.8589999675750732,1.4537227045580847,1.1628801332269636,1.253899571244838,0.8942539889527329,1.0971196379597832,0.995686813456258,1.1018722183849936,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.922999858856201,1.4693644338095633,1.1585895531403478,1.4969883363526244,0.8367128016287926,1.2133284881361337,1.025020644882463,1.1837112688351477,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,2.986999988555908,1.4845583443015913,1.0343569272446387,1.5765398866873346,0.8264537412746865,1.3304050564413903,1.0784293988580385,1.233650582829117,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.050999879837036,1.4993171470024178,1.120830573448472,1.546305362320163,0.7895710268064757,1.45520399731154,1.1223875120590079,1.2965254706387774,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.115000009536743,1.5136534089080294,1.055867284462197,1.2320302869060107,0.7486771371879064,1.3623772004374273,1.0555271688126668,1.2907078478802039,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.178999900817871,1.5275791234923892,1.046465113813594,1.1213387007186153,0.6931435868169844,1.5762934150808747,1.1347185009489296,1.3891493033404103,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.243000030517578,1.5411061483839812,1.2163186696961779,0.979768324032287,0.641939399652914,1.7043914245781087,1.1731654121155113,1.4528142468029612,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.306999921798706,1.5542458000627855,0.9845236420659396,1.0205589346842325,0.6187718391587824,1.741210130088494,1.1799909846236383,1.475613079064007,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.371000051498413,1.5670092668313529,0.7621487361478106,1.6208058967339685,0.5954718394152279,1.5505142014221904,1.0729930204187093,1.445036614326641,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.434999942779541,1.5794072263898669,1.0839666090322593,1.3770703083985778,0.5549384896930765,1.5487925421188613,1.0518655159059689,1.4724244864940308,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.499000072479248,1.5914502354962952,0.9867900694712696,1.4727421590240244,0.5377470958172152,1.6302912442440156,1.0840191700306154,1.503932116069239,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.562999963760376,1.60314836912814,0.7768807207042524,1.3083707856177695,0.4822554776937815,1.6525027487166881,1.0673791132052348,1.5481872638055565,nan,4.523000240325928
validation,EMU00070022,RF off,284.0,3.626999855041504,1.614511546428203,1.373114571333414,0.9870343521762596,0.4698027900347105,1.5502422897054942,1.0100225398701024,1.5348591031489272,nan,4.523000240325928
