split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,rational_closure_R,irrational_unresolved_I,coupled_amount_A,coupled_balance_B,handover_time_us,saturation_time_us
validation,EMU00069986,RF off,68.0,2.2829999923706055,1.290480240652085,0.9598087701456685,1.0538052899421202,1.3751667357048414,0.8097928536755442,1.0924797946901927,0.7412428656452323,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.3469998836517334,1.3107961426068178,0.9506546275327136,1.1103976565605647,1.3680855895460038,0.8062462076402866,1.0871658985931452,0.7416036583595425,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.4110000133514404,1.3305304054176792,1.2651387916057588,1.1194960889832477,1.3605726923841814,0.7916332342695339,1.0761029633268577,0.7356482244247977,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.4749999046325684,1.3496995384347905,1.2560292379307225,1.1161004747237073,1.3434578900868432,0.8650590341055637,1.1042584620962035,0.7833845642111165,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.5390000343322754,1.3683198640131937,1.0152038090529925,1.1243405533198023,1.3252337312820262,0.9403035731044884,1.1327686521932572,0.8300932156658514,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.6029999256134033,1.3864069596019823,0.8561957428089361,1.0733466892997774,1.3094153759211777,0.968704928453233,1.1390601521872052,0.8504422936692289,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.6670000553131104,1.4039762262104571,0.5600245375821807,1.0651642787649909,1.2938218924097606,1.0719471244628433,1.182884508436302,0.9062145262853565,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.7309999465942383,1.4210423619895745,0.7700563775982628,1.0789770904390508,1.2910563765847987,0.8215440527501273,1.056300214667463,0.777756211106017,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.7950000762939453,1.4376198986099702,0.6642711498373784,1.0741905086870835,1.1907122058057673,0.7918743378170907,0.991293271811429,0.7988295293986696,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.8589999675750732,1.4537227045580847,1.2656218869331466,1.0332882195839646,1.167884880456446,0.8425125211130071,1.0051987007847265,0.8381552030015215,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.922999858856201,1.4693644338095633,0.3843161407869748,1.0502179281899717,1.097072905389274,0.9311256880880482,1.014099296738661,0.9181799958668596,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,2.986999988555908,1.4845583443015913,0.5190813889621494,1.0371477384052152,1.0607970304252223,1.0523853700786814,1.056591200251952,0.9960194347896655,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,3.050999879837036,1.4993171470024178,1.1813331763653545,1.0074360036988617,1.0025900483196069,1.272343060942645,1.1374665546311258,1.1185762392417766,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,3.115000009536743,1.5136534089080294,1.2341443002193868,0.9792837997699261,0.9821514330293044,1.3027062223168853,1.1424288276730947,1.1402952995944386,2.9889353362114,3.9469997882843018
validation,EMU00069986,RF off,68.0,3.178999900817871,1.5275791234923892,0.8865768591493456,1.0190507436895726,0.9510405628298724,1.1984222445401185,1.0747314036849955,1.1150900033542888,2.9889353362114,3.9469997882843018
