salt,source,bin_low,bin_high,bin_center,proportion_of_split_weight
600,C,0.0,0.25,0.125,0.07142522550234598
600,C,0.25,0.5,0.375,0.12856540590422275
600,C,0.5,0.75,0.625,0.21427567650703774
600,C,0.75,1.0,0.875,0.14285045100469182
600,C,1.0,1.25,1.125,0.11428036080375371
600,C,1.25,1.5,1.375,0.11428036080375399
600,C,1.5,1.75,1.625,0.07143860920724776
600,C,1.75,2.0,1.875,0.14288391026694627
600,AC,0.0,0.25,0.125,0.17948394565855458
600,AC,0.25,0.5,0.375,0.12820281832753896
600,AC,0.5,0.75,0.625,0.10256225466203107
600,AC,0.75,1.0,0.875,0.15384338199304667
600,AC,1.0,1.25,1.125,0.15384338199304662
600,AC,1.25,1.5,1.375,0.17948394565855438
600,AC,1.5,1.75,1.625,0.051287133012747746
600,AC,1.75,2.0,1.875,0.05129313869447995
601,C,0.0,0.25,0.125,0.1019576470397121
601,C,0.25,0.5,0.375,0.1490150225965022
601,C,0.5,0.75,0.625,0.12548633481810745
601,C,0.75,1.0,0.875,0.08627185518744901
601,C,1.0,1.25,1.125,0.11637324411830866
601,C,1.25,1.5,1.375,0.17021501995650803
601,C,1.5,1.75,1.625,0.12379274178655131
601,C,1.75,2.0,1.875,0.12688813449686126
601,AC,0.0,0.25,0.125,0.046770954287114246
601,AC,0.25,0.5,0.375,0.07015643143067138
601,AC,0.5,0.75,0.625,0.16369834000489975
601,AC,0.75,1.0,0.875,0.12862012428956407
601,AC,1.0,1.25,1.125,0.11534930627242808
601,AC,1.25,1.5,1.375,0.19609382066312797
601,AC,1.5,1.75,1.625,0.1038143756451854
601,AC,1.75,2.0,1.875,0.1754966474070091
602,C,0.0,0.25,0.125,0.08954297762123171
602,C,0.25,0.5,0.375,0.14923829603538624
602,C,0.5,0.75,0.625,0.17908595524246357
602,C,0.75,1.0,0.875,0.14923829603538635
602,C,1.0,1.25,1.125,0.08954297762123173
602,C,1.25,1.5,1.375,0.1193906368283085
602,C,1.5,1.75,1.625,0.10451112860887564
602,C,1.75,2.0,1.875,0.1194497320071161
602,AC,0.0,0.25,0.125,0.10809220188363271
602,AC,0.25,0.5,0.375,0.10809220188363268
602,AC,0.5,0.75,0.625,0.05404610094181634
602,AC,0.75,1.0,0.875,0.10809220188363278
602,AC,1.0,1.25,1.125,0.16213830282544922
602,AC,1.25,1.5,1.375,0.16213830282544914
602,AC,1.5,1.75,1.625,0.13518213079835778
602,AC,1.75,2.0,1.875,0.16221855695802934
603,C,0.0,0.25,0.125,0.07317073170731705
603,C,0.25,0.5,0.375,0.14634146341463414
603,C,0.5,0.75,0.625,0.07317073170731708
603,C,0.75,1.0,0.875,0.14634146341463417
603,C,1.0,1.25,1.125,0.17073170731707313
603,C,1.25,1.5,1.375,0.14634146341463417
