source,bin_center,mean_occupancy,sd_across_splits,mean_C_minus_AC,other_source_mean
C,0.125,0.09263169044895211,0.04135192281171435,-0.005809822550660981,0.0984415129996131
C,0.375,0.11688049278478753,0.041756135710442926,0.026608659374762034,0.0902718334100255
C,0.625,0.15404200492642506,0.04704621488706571,0.024628904006315983,0.12941310092010908
C,0.875,0.1438298218835855,0.05092558541568068,0.0072241156442643395,0.13660570623932117
C,1.125,0.11653255271314379,0.0425516298481036,-0.004315530739015069,0.12084808345215886
C,1.375,0.12585655024455047,0.0431052335692266,-0.0058326005352195565,0.13168915077977003
C,1.625,0.1253825893508033,0.04697813703127538,-0.010358177227542037,0.13574076657834533
C,1.875,0.12484429764775218,0.04677011057643236,-0.03214554797290489,0.15698984562065707
AC,0.125,0.0984415129996131,0.057064293057330615,-0.005809822550660981,0.09263169044895211
AC,0.375,0.0902718334100255,0.05243961296943524,0.026608659374762034,0.11688049278478753
AC,0.625,0.12941310092010908,0.059506184081356904,0.024628904006315983,0.15404200492642506
AC,0.875,0.13660570623932117,0.07511931932373117,0.0072241156442643395,0.1438298218835855
AC,1.125,0.12084808345215886,0.05560847674582947,-0.004315530739015069,0.11653255271314379
AC,1.375,0.13168915077977003,0.06286169971973403,-0.0058326005352195565,0.12585655024455047
AC,1.625,0.13574076657834533,0.06419143236495213,-0.010358177227542037,0.1253825893508033
AC,1.875,0.15698984562065707,0.06771141775623261,-0.03214554797290489,0.12484429764775218
