split,hours_before,windows,ara_A_median,ara_A_q25,ara_A_q75,ara_B_median,ara_B_q25,ara_B_q75,dominance_median,dominance_q25,dominance_q75,resolved_fraction_median,resolved_fraction_q25,resolved_fraction_q75,share_unstereotyped_median,share_unstereotyped_q25,share_unstereotyped_q75,share_on_edge_median,share_on_edge_q25,share_on_edge_q75
development,1.4995,194,0.7937502498214215,0.42781974253696065,1.1094599555745814,0.7069908503445924,0.5905525719591198,0.9914861331735856,-0.09012781259074631,-0.8974208482598154,0.5645809530153146,0.9133333333333332,0.8566666666666667,0.9666666666666668,0.0816666666666666,0.029166666666666625,0.12458333333333332,0.0,0.0,0.0066666666666666
development,4.5,234,0.9605619136711656,0.5998791368501849,1.2448753359058777,0.736950159122822,0.60720553184789,0.9814121974112009,0.08853967316092431,-0.7057736223145274,1.0547003427438888,0.8916666666666667,0.8466666666666667,0.9433333333333334,0.09916666666666665,0.05208333333333327,0.13291666666666663,0.0,0.0,0.0133333333333333
development,7.5,242,0.8614125386779892,0.5140904664682991,1.1978475432788909,0.7157536923153843,0.6085464811074957,0.9824496221600538,0.024520145569425722,-0.9660556582697926,0.8830395436873992,0.9066666666666666,0.8533333333333334,0.955,0.09,0.03874999999999998,0.12791666666666662,0.0,0.0,0.0083333333333333
development,10.5,226,0.9838159877009691,0.6691355292497068,1.234050666619851,0.7536380647571017,0.6167987439780587,1.0025937759010044,0.16535102295372528,-0.6201129898511982,0.8962785687510957,0.9033333333333333,0.8520833333333333,0.9616666666666668,0.0933333333333333,0.03541666666666665,0.14124999999999996,0.0,0.0,0.0033333333333333
development,13.5,271,1.0079461607290057,0.6284204136676907,1.334418368911816,0.7780701930905011,0.622051672139428,1.1498144387746252,0.019774247151778335,-0.8070014574271351,0.9704154101927231,0.9316666666666666,0.8691666666666666,0.975,0.0666666666666666,0.025,0.1216666666666666,0.0,0.0,0.0
development,16.5,280,1.0355964550087524,0.6691225789378333,1.372095803022304,0.8108174610508136,0.6576594065676192,1.1675686198415252,0.14592926868888084,-0.6705086036978765,1.0408981401848965,0.92,0.8612500000000001,0.96875,0.075,0.03,0.13,0.0,0.0,0.0016666666666666
development,19.5,221,0.9652680031810952,0.6713356590804276,1.3407414685674228,0.7905744813553242,0.628316262818537,1.0577946343291749,0.20109305937393301,-0.6660618225423339,1.0601516772770316,0.9266666666666666,0.8683333333333333,0.9716666666666668,0.07,0.0266666666666666,0.1216666666666666,0.0,0.0,0.0016666666666666
development,22.5,223,0.9747154828029491,0.7247550718941347,1.2549527859612157,0.8883658675266515,0.6912721290413496,1.197605976970939,-0.09440905146438834,-0.6808572062813131,0.7623881831526542,0.89,0.8441666666666667,0.9558333333333333,0.0983333333333333,0.0433333333333333,0.13916666666666666,0.0,0.0,0.005
development,25.5,182,0.9851821685503577,0.7445541641080549,1.3013198929063394,0.91100586633843,0.7188851148805926,1.2425699562581909,0.10318240329031741,-1.0142959895671613,0.7336839035280324,0.9058333333333333,0.8554166666666667,0.96125,0.08749999999999995,0.037083333333333274,0.12791666666666662,0.0,0.0,0.0083333333333333
development,28.5,182,0.9960117670949021,0.6633777675893973,1.2757033786288128,0.9812985962210432,0.7374782129914118,1.3344203680966382,-0.26083130185472997,-1.1582591716815038,0.7787283804156749,0.9041666666666666,0.84375,0.96625,0.09166666666666665,0.033749999999999974,0.1333333333333333,0.0,0.0,0.0133333333333333
development,31.5,201,1.028629679257497,0.5836982825651571,1.3431164044272776,1.1515288542004567,0.7655635577419657,1.5072149665897734,-0.3785362229620435,-1.7051599568075164,0.6874430689942685,0.9216666666666666,0.855,0.97,0.0783333333333333,0.03,0.1316666666666666,0.0,0.0,0.0033333333333333
development,34.5,204,1.055688668514832,0.6777466145560247,1.4740061139559988,0.9630859930618147,0.7105011463196487,1.4684467191092554,0.039758607711429916,-1.461456034197306,1.2905176470436002,0.945,0.8712500000000001,0.97875,0.055,0.02,0.12083333333333332,0.0,0.0,0.0016666666666666
development,37.5,245,1.1218435465066394,0.7841268046979403,1.451558354428139,0.9279257018968156,0.6766159669497132,1.3231547151454661,0.04305373879796509,-0.83213717974753,1.0394601381793074,0.9466666666666668,0.8833333333333333,0.9833333333333332,0.0533333333333333,0.0166666666666666,0.1083333333333333,0.0,0.0,0.0
