source_file,windows,rho_hours_common,rho_hours_differential
20220418_cam1_flid32.h5,75,-0.07172119487908961,0.06238975817923186
20220418_cam1_flid33.h5,270,0.38381352586760065,0.18964350981799777
20220418_cam1_flid34.h5,244,0.49402634640314846,0.19013175679792496
20220418_cam1_flid35.h5,319,0.5092392406324466,-0.27153846623042444
20220418_cam2_flid36.h5,239,0.10189121819978847,-0.018615295395577124
20220418_cam2_flid37.h5,204,0.24118927747677238,0.03497538181770855
20220418_cam2_flid38.h5,119,0.05018880891050703,0.031160146631844417
20220418_cam2_flid39.h5,305,0.27425476661760473,-0.27911316381600093
20220418_cam3_flid40.h5,282,0.6490800666366977,0.26119009343076593
20220418_cam3_flid41.h5,282,0.42322106196494474,-0.2380916962067177
20220418_cam3_flid42.h5,252,0.5698913362173366,-0.06331234444866872
20220418_cam3_flid43.h5,232,0.30730901479754513,0.023280330739262212
20220418_cam4_flid44.h5,286,0.4675697774805008,0.12426626627962081
20220418_cam4_flid45.h5,262,0.33087860338115643,0.19739138166093975
20220418_cam4_flid46.h5,83,0.38531127996305775,0.15763402040216615
20220418_cam4_flid47.h5,232,0.34590583310429385,0.27912275677556125
