source_file,lag_windows,correlation,pairs,split,series
20220217_cam1_flid1.h5,-12,-0.018913736829163825,86,development,ordered
20220217_cam1_flid1.h5,-11,-0.003614304319710432,91,development,ordered
20220217_cam1_flid1.h5,-10,0.020071358161441524,89,development,ordered
20220217_cam1_flid1.h5,-9,-0.07494745523527445,84,development,ordered
20220217_cam1_flid1.h5,-8,0.18768246056746377,91,development,ordered
20220217_cam1_flid1.h5,-7,-0.1726994214447109,95,development,ordered
20220217_cam1_flid1.h5,-6,0.14931008428716297,90,development,ordered
20220217_cam1_flid1.h5,-5,-0.04413631288988921,91,development,ordered
20220217_cam1_flid1.h5,-4,0.08701048643529531,103,development,ordered
20220217_cam1_flid1.h5,-3,-0.07638285949614504,105,development,ordered
20220217_cam1_flid1.h5,-2,0.14543945795687682,106,development,ordered
20220217_cam1_flid1.h5,-1,-0.1825504283720197,147,development,ordered
20220217_cam1_flid1.h5,0,0.09445393658612941,211,development,ordered
20220217_cam1_flid1.h5,1,-0.02927216943812885,147,development,ordered
20220217_cam1_flid1.h5,2,-0.06569683730792317,106,development,ordered
20220217_cam1_flid1.h5,3,0.052304714199941656,105,development,ordered
20220217_cam1_flid1.h5,4,0.06547986918978756,103,development,ordered
20220217_cam1_flid1.h5,5,-0.12669872831342807,91,development,ordered
20220217_cam1_flid1.h5,6,0.15494684714682458,90,development,ordered
20220217_cam1_flid1.h5,7,0.09401070751571641,95,development,ordered
20220217_cam1_flid1.h5,8,-0.18462239471453706,91,development,ordered
20220217_cam1_flid1.h5,9,0.0565444390680752,84,development,ordered
20220217_cam1_flid1.h5,10,-0.16036553004110904,89,development,ordered
20220217_cam1_flid1.h5,11,0.21165788081429934,91,development,ordered
20220217_cam1_flid1.h5,12,-0.049738184151527025,86,development,ordered
20220217_cam1_flid2.h5,-12,0.07186986509845793,31,development,ordered
20220217_cam1_flid2.h5,-11,0.023474861566838128,33,development,ordered
20220217_cam1_flid2.h5,-10,0.02829638483897043,34,development,ordered
20220217_cam1_flid2.h5,-9,0.10157661633573048,39,development,ordered
20220217_cam1_flid2.h5,-8,0.07364690657771303,40,development,ordered
20220217_cam1_flid2.h5,-7,-0.2180274153448305,42,development,ordered
20220217_cam1_flid2.h5,-6,-0.044307533735839406,47,development,ordered
20220217_cam1_flid2.h5,-5,0.08650263454391043,50,development,ordered
20220217_cam1_flid2.h5,-4,-0.0366368810673792,53,development,ordered
20220217_cam1_flid2.h5,-3,-0.035907992295970775,61,development,ordered
20220217_cam1_flid2.h5,-2,0.0027930066976669878,72,development,ordered
20220217_cam1_flid2.h5,-1,0.014240478251362716,94,development,ordered
20220217_cam1_flid2.h5,0,-0.011259827621650296,126,development,ordered
20220217_cam1_flid2.h5,1,-0.03943524104961409,94,development,ordered
20220217_cam1_flid2.h5,2,0.005817283642033791,72,development,ordered
20220217_cam1_flid2.h5,3,0.23439749639466848,61,development,ordered
20220217_cam1_flid2.h5,4,-0.11131543829373731,53,development,ordered
20220217_cam1_flid2.h5,5,-0.0986322165972439,50,development,ordered
20220217_cam1_flid2.h5,6,0.13195708004964934,47,development,ordered
20220217_cam1_flid2.h5,7,-0.07322178064774498,42,development,ordered
20220217_cam1_flid2.h5,8,0.0004725305689820631,40,development,ordered
20220217_cam1_flid2.h5,9,-0.062426011915647485,39,development,ordered
20220217_cam1_flid2.h5,10,0.05722809413436738,34,development,ordered
20220217_cam1_flid2.h5,11,0.027817255722478982,33,development,ordered
20220217_cam1_flid2.h5,12,-0.11475650211153138,31,development,ordered
20220217_cam1_flid3.h5,-12,-0.07891991137171626,149,development,ordered
20220217_cam1_flid3.h5,-11,-0.007749675788291307,152,development,ordered
20220217_cam1_flid3.h5,-10,-0.018124259472949975,151,development,ordered
20220217_cam1_flid3.h5,-9,-0.03491350330525131,156,development,ordered
20220217_cam1_flid3.h5,-8,0.10624534191305833,161,development,ordered
20220217_cam1_flid3.h5,-7,-0.08804707239388136,162,development,ordered
20220217_cam1_flid3.h5,-6,0.061676998127582205,168,development,ordered
20220217_cam1_flid3.h5,-5,0.0010843597616077179,165,development,ordered
20220217_cam1_flid3.h5,-4,-0.05665443843493887,167,development,ordered
20220217_cam1_flid3.h5,-3,-0.011511315504647563,181,development,ordered
20220217_cam1_flid3.h5,-2,0.059341727465478215,190,development,ordered
20220217_cam1_flid3.h5,-1,-0.003921367763799878,234,development,ordered
20220217_cam1_flid3.h5,0,-0.09169922348329179,300,development,ordered
20220217_cam1_flid3.h5,1,0.12440995905900147,234,development,ordered
20220217_cam1_flid3.h5,2,0.010126177017455572,190,development,ordered
20220217_cam1_flid3.h5,3,-0.028098429399062215,181,development,ordered
20220217_cam1_flid3.h5,4,-0.10089873288755218,167,development,ordered
20220217_cam1_flid3.h5,5,0.06383102302547337,165,development,ordered
20220217_cam1_flid3.h5,6,-0.04282199846269499,168,development,ordered
20220217_cam1_flid3.h5,7,0.052848064551943096,162,development,ordered
20220217_cam1_flid3.h5,8,0.10341931977297207,161,development,ordered
20220217_cam1_flid3.h5,9,-0.09411140725144795,156,development,ordered
20220217_cam1_flid3.h5,10,-0.07111111822003217,151,development,ordered
20220217_cam1_flid3.h5,11,0.17167773018672222,152,development,ordered
20220217_cam1_flid3.h5,12,-0.043687792073610704,149,development,ordered
20220217_cam1_flid4.h5,-12,0.08520144628966675,92,development,ordered
20220217_cam1_flid4.h5,-11,0.10370491296107628,95,development,ordered
20220217_cam1_flid4.h5,-10,-0.1618606592833681,98,development,ordered
20220217_cam1_flid4.h5,-9,0.03821140091699916,102,development,ordered
20220217_cam1_flid4.h5,-8,0.04761601133219583,102,development,ordered
20220217_cam1_flid4.h5,-7,0.042412901476629475,104,development,ordered
20220217_cam1_flid4.h5,-6,0.05862507056440681,111,development,ordered
20220217_cam1_flid4.h5,-5,-0.05620913920708781,120,development,ordered
20220217_cam1_flid4.h5,-4,0.01667405625923694,123,development,ordered
20220217_cam1_flid4.h5,-3,-0.0097349687119488,123,development,ordered
20220217_cam1_flid4.h5,-2,0.17995111437005776,133,development,ordered
20220217_cam1_flid4.h5,-1,-0.24162885557317543,175,development,ordered
20220217_cam1_flid4.h5,0,0.12777379800525643,230,development,ordered
20220217_cam1_flid4.h5,1,0.040425070145430335,175,development,ordered
20220217_cam1_flid4.h5,2,-0.152097980335098,133,development,ordered
20220217_cam1_flid4.h5,3,0.16943714969883422,123,development,ordered
20220217_cam1_flid4.h5,4,-0.11415798141434295,123,development,ordered
20220217_cam1_flid4.h5,5,0.0179328093985604,120,development,ordered
20220217_cam1_flid4.h5,6,-0.021048735006476072,111,development,ordered
20220217_cam1_flid4.h5,7,0.14296006507538794,104,development,ordered
20220217_cam1_flid4.h5,8,-0.04967646105211396,102,development,ordered
20220217_cam1_flid4.h5,9,0.010757318048941962,102,development,ordered
