split,experiment,source_file,windows,eligible_windows,eligible_fraction
development,exp1,20220217_cam1_flid1.h5,701,294,0.4194008559201141
development,exp1,20220217_cam1_flid2.h5,480,181,0.3770833333333333
development,exp1,20220217_cam1_flid3.h5,888,416,0.46846846846846846
development,exp1,20220217_cam1_flid4.h5,720,305,0.4236111111111111
development,exp1,20220217_cam2_flid5.h5,582,316,0.5429553264604811
development,exp1,20220217_cam2_flid6.h5,978,589,0.6022494887525562
development,exp1,20220217_cam2_flid7.h5,1122,489,0.4358288770053476
development,exp1,20220217_cam2_flid8.h5,882,288,0.32653061224489793
development,exp1,20220217_cam3_flid10.h5,612,276,0.45098039215686275
development,exp1,20220217_cam3_flid11.h5,540,160,0.2962962962962963
development,exp1,20220217_cam3_flid12.h5,942,256,0.27176220806794055
development,exp1,20220217_cam3_flid9.h5,906,399,0.44039735099337746
development,exp1,20220217_cam4_flid13.h5,606,269,0.4438943894389439
development,exp1,20220217_cam4_flid14.h5,450,184,0.4088888888888889
development,exp1,20220217_cam4_flid15.h5,840,571,0.6797619047619048
development,exp2,20220313_cam3_flid16.h5,510,198,0.38823529411764707
development,exp2,20220313_cam3_flid17.h5,563,106,0.1882770870337478
development,exp2,20220313_cam3_flid18.h5,696,339,0.4870689655172414
development,exp2,20220313_cam3_flid19.h5,678,75,0.11061946902654868
development,exp2,20220313_cam4_flid20.h5,624,249,0.39903846153846156
development,exp2,20220313_cam4_flid21.h5,468,134,0.2863247863247863
development,exp2,20220313_cam4_flid22.h5,636,196,0.3081761006289308
development,exp2,20220313_cam4_flid23.h5,336,149,0.44345238095238093
development,exp3,20220326_cam3_flid24.h5,546,190,0.34798534798534797
development,exp3,20220326_cam3_flid25.h5,438,163,0.3721461187214612
development,exp3,20220326_cam3_flid26.h5,684,297,0.4342105263157895
development,exp3,20220326_cam3_flid27.h5,744,409,0.5497311827956989
development,exp3,20220326_cam4_flid28.h5,726,459,0.6322314049586777
development,exp3,20220326_cam4_flid29.h5,720,386,0.5361111111111111
development,exp3,20220326_cam4_flid30.h5,594,323,0.5437710437710438
development,exp3,20220326_cam4_flid31.h5,606,271,0.4471947194719472
holdout,exp4,20220418_cam1_flid32.h5,192,75,0.390625
holdout,exp4,20220418_cam1_flid33.h5,929,653,0.7029063509149623
holdout,exp4,20220418_cam1_flid34.h5,701,350,0.4992867332382311
holdout,exp4,20220418_cam1_flid35.h5,600,392,0.6533333333333333
holdout,exp4,20220418_cam2_flid36.h5,486,249,0.5123456790123457
holdout,exp4,20220418_cam2_flid37.h5,606,280,0.46204620462046203
holdout,exp4,20220418_cam2_flid38.h5,432,119,0.27546296296296297
holdout,exp4,20220418_cam2_flid39.h5,744,575,0.7728494623655914
holdout,exp4,20220418_cam3_flid40.h5,864,601,0.6956018518518519
holdout,exp4,20220418_cam3_flid41.h5,696,446,0.6408045977011494
holdout,exp4,20220418_cam3_flid42.h5,690,392,0.5681159420289855
holdout,exp4,20220418_cam3_flid43.h5,534,285,0.5337078651685393
holdout,exp4,20220418_cam4_flid44.h5,756,509,0.6732804232804233
holdout,exp4,20220418_cam4_flid45.h5,978,649,0.66359918200409
holdout,exp4,20220418_cam4_flid46.h5,288,83,0.2881944444444444
holdout,exp4,20220418_cam4_flid47.h5,588,260,0.4421768707482993
