lag_windows,median_correlation,q25,q75,flies,pairs,series
-12,0.011188317286592893,-0.04109173508160199,0.09497597605262269,29,2706,development ordered
-11,-0.019033242078671436,-0.0866442208431994,0.024110067772274164,30,2782,development ordered
-10,0.013233610615052094,-0.05897581779258181,0.1460597136585654,29,2844,development ordered
-9,-0.0015631425143400835,-0.092458593405147,0.07515048461538065,29,2884,development ordered
-8,0.03316351312390148,-0.014605568331115794,0.08244903741997828,29,2891,development ordered
-7,0.017579231861805024,-0.07948482279763401,0.05399622285251108,29,2918,development ordered
-6,-0.017795706713807938,-0.0745557321041027,0.06637040894166016,30,3014,development ordered
-5,-0.039803545830179934,-0.12146032750302532,0.08538730321936357,30,3103,development ordered
-4,0.019314599612520512,-0.051650049093048954,0.09511865387259807,30,3156,development ordered
-3,-0.010452045291039028,-0.07243519408053928,0.06032720438468448,30,3288,development ordered
-2,0.0027930066976669878,-0.07711045217524667,0.055679543565059816,31,3518,development ordered
-1,0.04152284197159018,-0.03486363719455572,0.1262713030819553,31,4618,development ordered
0,-0.09169922348329179,-0.19324014612144347,0.05618100758562026,31,6250,development ordered
1,0.06609065745610467,-0.016667345703363947,0.12250728074143641,31,4618,development ordered
2,-0.01593424455344473,-0.07839751832326206,0.041239415081191944,31,3518,development ordered
3,0.0060217190004330165,-0.06269813359883644,0.09777800261803196,30,3288,development ordered
4,0.021394566054235228,-0.072954862531643,0.05413589571783168,30,3156,development ordered
5,-0.018442437128433506,-0.08921122360354451,0.037335124973412,30,3103,development ordered
6,0.034739136248071116,-0.045513781620080976,0.09550237891012467,30,3014,development ordered
7,-0.00040323862087807794,-0.06224129130823828,0.08336573331141423,29,2918,development ordered
8,0.0004725305689820631,-0.04967646105211396,0.08859969402708011,29,2891,development ordered
9,-0.003357974546047634,-0.044337521234169786,0.028935502864473956,29,2884,development ordered
10,0.0006568240211281398,-0.04142783157983514,0.04777626922720321,29,2844,development ordered
11,0.0315782298940381,-0.011629219059818185,0.07921587415545256,30,2782,development ordered
12,-0.043687792073610704,-0.10028172637802896,0.02567603135924474,29,2706,development ordered
-12,0.04185674474557534,0.004112141849092098,0.11216950212301133,13,2254,holdout ordered
-11,-0.03709812211588887,-0.07875442377289811,-0.004319867129161559,13,2273,holdout ordered
-10,0.01679489801008635,0.0036774134508568077,0.09296030888125782,13,2280,holdout ordered
-9,-0.04012181646729596,-0.06251556870850755,-0.028058081206371994,13,2307,holdout ordered
-8,-0.007263400436885084,-0.024793241906841033,0.03022744932290646,13,2352,holdout ordered
-7,-0.009327393602865731,-0.03313602018244243,0.052225050397569514,13,2383,holdout ordered
-6,0.0019194481504856194,-0.06287918733279517,0.07038944741250495,13,2432,holdout ordered
-5,-0.062449086915297713,-0.11317315727751345,0.04712157624595051,13,2471,holdout ordered
-4,0.039857163130832485,0.0016222207303751887,0.07299669570833825,13,2445,holdout ordered
-3,-0.04012456514181941,-0.05356432347532889,0.028648251168461147,13,2448,holdout ordered
-2,-0.028634306529498773,-0.05804806182970948,0.03368650993817248,15,2509,holdout ordered
-1,0.056190918846385,-0.010810069539952635,0.11680377494391245,16,3196,holdout ordered
0,-0.13642807084575115,-0.1619947587684985,-0.07575237225907776,16,4259,holdout ordered
1,0.07132047599619504,0.0313068859672841,0.1462666798701266,16,3196,holdout ordered
2,0.006930810168218727,-0.07668185036176933,0.03896372959190563,15,2509,holdout ordered
3,0.039763012045680494,-0.06718990778879148,0.12246467105100486,13,2448,holdout ordered
4,-0.03545132813489911,-0.0978667711827167,0.05056776376901643,13,2445,holdout ordered
5,-0.03424097092037039,-0.05654028062962806,0.06931609859192565,13,2471,holdout ordered
6,0.036410155474706794,-0.09206460327939371,0.05839324027304638,13,2432,holdout ordered
7,-0.029123046587131662,-0.05655224879936522,0.10679133333672214,13,2383,holdout ordered
8,-0.004162977368779042,-0.09002679524246969,0.07244982515462138,13,2352,holdout ordered
9,-0.008647906470464498,-0.07289219146210224,0.1002664116493538,13,2307,holdout ordered
10,-0.02506049220109485,-0.0778869970438047,0.016536354859081944,13,2280,holdout ordered
11,-0.03374587959621995,-0.07141430319463882,0.061230360659936096,13,2273,holdout ordered
12,0.032202647970760216,-0.04135642388938638,0.07390609273407868,13,2254,holdout ordered
-12,-0.03979028622483481,-0.08501436744613623,0.07008540206232579,13,2254,holdout shuffled
-11,-0.02328278344319724,-0.08914791671853738,0.06606742117754832,13,2273,holdout shuffled
-10,0.033489728158252324,-0.0031145414018783446,0.13313367604346915,13,2280,holdout shuffled
-9,0.0033992670422001445,-0.08579388447005874,0.06887990663574761,13,2307,holdout shuffled
-8,-0.004817028217782573,-0.09572645078869015,0.03822784531872872,13,2352,holdout shuffled
-7,0.015828855037909033,-0.028112872735441965,0.07813878073125283,13,2383,holdout shuffled
-6,-0.0645460980068925,-0.07600522229324903,0.00881576310026098,13,2432,holdout shuffled
