source_file,direction,lifecycle_band,feature,raw_share_change,matched_nonexchange_mean_change,event_minus_matched_change
20220418_cam1_flid32.h5,retention → traversal,24–72 h,idle,-0.05500000000000005,,
20220418_cam1_flid32.h5,retention → traversal,24–72 h,proboscis,0.0033333333333333,,
20220418_cam1_flid32.h5,retention → traversal,24–72 h,grooming,-0.004999999999999999,,
20220418_cam1_flid32.h5,retention → traversal,24–72 h,locomotion,0.0,,
20220418_cam1_flid32.h5,retention → traversal,24–72 h,unresolved,0.0566666666666666,,
20220418_cam1_flid32.h5,traversal → retention,6–24 h,idle,-0.011666666666666492,-0.0022807017543859357,-0.009385964912280557
20220418_cam1_flid32.h5,traversal → retention,6–24 h,proboscis,-0.0066666666666666,-0.006140350877192984,-0.0005263157894736161
20220418_cam1_flid32.h5,traversal → retention,6–24 h,grooming,0.016666666666666698,-0.004736842105263157,0.021403508771929855
20220418_cam1_flid32.h5,traversal → retention,6–24 h,locomotion,0.0,0.0019298245614034995,-0.0019298245614034995
20220418_cam1_flid32.h5,traversal → retention,6–24 h,unresolved,0.0016666666666665941,0.011228070175438584,-0.00956140350877199
20220418_cam1_flid32.h5,retention → traversal,6–24 h,idle,0.06666666666666665,-0.0022807017543859357,0.06894736842105259
20220418_cam1_flid32.h5,retention → traversal,6–24 h,proboscis,0.0,-0.006140350877192984,0.006140350877192984
20220418_cam1_flid32.h5,retention → traversal,6–24 h,grooming,-0.03,-0.004736842105263157,-0.02526315789473684
20220418_cam1_flid32.h5,retention → traversal,6–24 h,locomotion,0.0,0.0019298245614034995,-0.0019298245614034995
20220418_cam1_flid32.h5,retention → traversal,6–24 h,unresolved,-0.0366666666666666,0.011228070175438584,-0.047894736842105184
20220418_cam1_flid32.h5,traversal → retention,6–24 h,idle,-0.17500000000000004,-0.0022807017543859357,-0.1727192982456141
20220418_cam1_flid32.h5,traversal → retention,6–24 h,proboscis,-0.0216666666666666,-0.006140350877192984,-0.015526315789473617
20220418_cam1_flid32.h5,traversal → retention,6–24 h,grooming,0.15999999999999992,-0.004736842105263157,0.16473684210526307
20220418_cam1_flid32.h5,traversal → retention,6–24 h,locomotion,0.0066666666666666,0.0019298245614034995,0.004736842105263101
20220418_cam1_flid32.h5,traversal → retention,6–24 h,unresolved,0.030000000000000002,0.011228070175438584,0.01877192982456142
