direction,events,flies,actual_median_parent_response,null_2_5pct,null_5pct,null_50pct,null_95pct,null_97_5pct,lower_tail_p,upper_tail_p
retention → traversal,648,16,-0.05437124899915423,-0.03491623170040398,-0.029686920568207018,0.0017957217269292934,0.03423360034884015,0.040076001120864506,0.001999000499750125,0.9985007496251874
traversal → retention,682,16,0.0075970253971947,-0.033989795691716035,-0.028850254018056812,0.0026684475049681203,0.03600903517435501,0.04341692180906959,0.6071964017991005,0.3933033483258371
