direction,offset_minutes,series,events,median,q25,q75
retention → traversal,-10,C_A retention,789,1.2587357145764788,1.0573884557379725,1.4612209543560462
retention → traversal,-10,C_B traversal,789,0.7730461605934588,0.6301468484646371,0.9666270493128012
retention → traversal,-10,grooming share,789,0.0633333333333332,0.0266666666666665,0.11833333333333321
retention → traversal,-10,idle share,789,0.76,0.6183333333333333,0.8633333333333333
retention → traversal,-10,locomotion share,789,0.0449999999999999,0.0066666666666666,0.1349999999999999
retention → traversal,-10,proboscis share,789,0.0,0.0,0.0033333333333333
retention → traversal,0,C_A retention,789,0.6860009821939597,0.4237321941160585,0.9396156000140428
retention → traversal,0,C_B traversal,789,1.0548168139165044,0.6978807844028327,1.335474824666042
retention → traversal,0,grooming share,789,0.058333333333333195,0.0016666666666666,0.15500000000000003
retention → traversal,0,idle share,789,0.6916666666666667,0.4383333333333333,0.9566666666666668
retention → traversal,0,locomotion share,789,0.0666666666666666,0.0016666666666666,0.2183333333333333
retention → traversal,0,proboscis share,789,0.0,0.0,0.0066666666666666
retention → traversal,10,C_A retention,580,1.053918024360301,0.8041855858948483,1.3234239055246912
retention → traversal,10,C_B traversal,580,0.8713911763137827,0.6770484138069325,1.1424580151037582
retention → traversal,10,grooming share,580,0.0699999999999999,0.021666666666666598,0.1433333333333332
retention → traversal,10,idle share,580,0.715,0.52125,0.8583333333333333
retention → traversal,10,locomotion share,580,0.0716666666666666,0.0083333333333332,0.1983333333333333
retention → traversal,10,proboscis share,580,0.0,0.0,0.005
traversal → retention,-10,C_A retention,818,0.748428955889891,0.46017774868837436,0.9715974630667521
traversal → retention,-10,C_B traversal,818,1.1085193348832223,0.736927897521732,1.3289014789089704
traversal → retention,-10,grooming share,818,0.0699999999999999,0.0033333333333333,0.15999999999999986
traversal → retention,-10,idle share,818,0.66,0.41374999999999995,0.94
traversal → retention,-10,locomotion share,818,0.0866666666666666,0.0016666666666666,0.2333333333333332
traversal → retention,-10,proboscis share,818,0.0,0.0,0.0083333333333333
traversal → retention,0,C_A retention,818,1.2654053638739606,1.0527412934006524,1.473724243472154
traversal → retention,0,C_B traversal,818,0.7814296238883729,0.6431752576408726,0.9597290448276622
traversal → retention,0,grooming share,818,0.065,0.0266666666666666,0.1199999999999999
traversal → retention,0,idle share,818,0.76,0.6270833333333333,0.86
traversal → retention,0,locomotion share,818,0.0516666666666666,0.0083333333333333,0.14291666666666664
traversal → retention,0,proboscis share,818,0.0,0.0,0.0033333333333333
traversal → retention,10,C_A retention,623,1.0641551838186714,0.7695290950476462,1.3743936528531533
traversal → retention,10,C_B traversal,623,0.8525381749324339,0.6548014427810237,1.121268976981375
traversal → retention,10,grooming share,623,0.0733333333333333,0.01833333333333325,0.14916666666666656
traversal → retention,10,idle share,623,0.7433333333333333,0.5466666666666666,0.885
traversal → retention,10,locomotion share,623,0.054999999999999896,0.005,0.17749999999999996
traversal → retention,10,proboscis share,623,0.0,0.0,0.005
