common_median,common_q25,common_q75,differential_median,differential_q25,differential_q75,windows,hours_before
-0.4649857994768927,-0.8148710409177838,-0.21894564462967375,0.14504804032737956,-0.1533248982868372,0.4750798856593364,149,1.4995
-0.41913811939889845,-0.6315863510535569,-0.15632151324815818,0.06166895452577413,-0.17503070930216552,0.4546240382946418,162,4.5
-0.365699379904758,-0.6293574060548197,-0.09570091917396847,-0.00950349277781648,-0.300826070106485,0.38366874518741856,175,7.5
-0.22971067186625613,-0.5002379000257086,-0.01667086651352391,0.05698405373203452,-0.31239500794049846,0.3348831208660801,179,10.5
-0.17897591840857818,-0.48139925887636753,0.045073693766258714,0.15502237353273013,-0.25036341488797426,0.4239407353347477,188,13.5
-0.11807017960228808,-0.42468091565830535,0.10846852505108319,0.17290084310485138,-0.1664186235812473,0.556352737417112,194,16.5
-0.17726843235822456,-0.49439232492361795,0.06047804571737821,0.1690241396444338,-0.14762657035254845,0.5433906131997834,170,19.5
-0.1954772908503133,-0.5334920026307546,0.11370313568020883,0.15282766551545485,-0.20066158121808447,0.4666204177162373,172,22.5
-0.2133224176320338,-0.5052020077245072,0.09905765338711715,0.3134883519082583,0.0462232379615634,0.6003519685928831,161,25.5
0.0038510032239297554,-0.38508329615065007,0.26822166120043617,0.25684248914945035,-0.049038791694551095,0.5893544680066034,161,28.5
0.08417022633841287,-0.2703892632722097,0.3895380987217521,0.20621136639968263,-0.15637158950252933,0.6587988560634277,176,31.5
-0.01557799226756585,-0.501793902946088,0.2747127548957228,0.2857876857792086,-0.12832451708456555,0.6392925853503519,117,34.5
0.18913960507255206,-0.18934584629829418,0.3663814830642106,0.2364840552910629,-0.1750573385731446,0.6432107439625531,154,37.5
0.16815114735902734,-0.23586807596655873,0.3962492286789269,0.2898136442280106,-0.1706532687688248,0.5795961194888222,186,40.5
0.2901763607457083,-0.02759641111418247,0.5019575849637327,0.2554641739543255,-0.30161372577418577,0.6120844049647048,139,43.5
0.17172142282731645,-0.14136289468773133,0.4058284755283259,0.1294559761118318,-0.3604476956154228,0.5726663663475621,132,46.5
0.12979545573704437,-0.13943988963082993,0.35008216220254823,0.1769746662558926,-0.3107158949237524,0.6008660585209704,135,49.5
0.22078070676306638,-0.12283351882186166,0.39948792330318383,0.2697160237571538,-0.17481099951044016,0.5376296459505239,129,52.5
0.19857889319656521,-0.1995949755529487,0.4428562802256304,0.22851552344024983,-0.47565922822551987,0.5621255253807346,136,55.5
0.20311300605439075,-0.1990331998583806,0.38676671652676414,0.2642681126073731,-0.38076871847288224,0.613440521050354,137,58.5
0.2570779035489205,-0.1627185324055552,0.4605472721836922,0.3551145075096457,-0.024063599008908317,0.7054802673546123,124,61.5
0.21018483089374618,-0.08982541868438297,0.48502662647035266,0.3717996326272669,-0.07751108581023029,0.7191655578383942,132,64.5
0.19461514368599964,-0.0809939796012114,0.4035697670923272,0.1092587162687219,-0.40176762339622496,0.3814367878241949,136,67.5
0.2526642696948186,-0.08135476493119415,0.4076781529353969,-0.056275770885389514,-0.6610232277566067,0.34603834988038495,142,70.5
