source_file,experiment,child_window_index,child_midpoint_hours,hours_to_collapse,from_side,to_side,dominance_before,dominance_after,ara_A,ara_B,idle_share,unresolved_share,parent_before,parent_after,parent_delta_after_minus_before
20220418_cam1_flid32.h5,exp4,149,24.916666666666668,7.083333333333332,traversal,retention,-1.08350033088636,0.21792451053789483,1.2011338222681813,1.092171566999234,0.77,0.075,0.2238333478977203,0.8011416568088133,0.5773083089110931
20220418_cam1_flid32.h5,exp4,150,25.08333333333333,6.916666666666668,retention,traversal,0.21792451053789483,-2.7359286110830543,0.29405655594868974,1.662020861490217,0.8933333333333333,0.0216666666666666,0.2238333478977203,0.8011416568088133,0.5773083089110931
20220418_cam1_flid32.h5,exp4,153,25.58333333333333,6.416666666666668,traversal,retention,-1.1585039626896396,0.07362409370991628,0.9467644422216177,0.9099523953666596,0.8883333333333333,0.0383333333333333,0.8011416568088133,0.7334008119016158,-0.06774084490719756
20220418_cam1_flid32.h5,exp4,155,25.916666666666668,6.083333333333332,retention,traversal,0.3821854932245805,-0.9137391989814865,0.6562012964262731,1.1130708959170164,0.8683333333333333,0.0783333333333333,0.8011416568088133,0.7334008119016158,-0.06774084490719756
20220418_cam1_flid32.h5,exp4,158,26.416666666666668,5.583333333333332,traversal,retention,-2.6330259017959903,0.9684707503699338,1.2750669573623834,0.7908315821774166,0.625,0.1949999999999999,0.8011416568088133,0.7334008119016158,-0.06774084490719756
20220418_cam1_flid32.h5,exp4,166,27.75,4.25,traversal,retention,-0.3484975664412142,0.9711657830347064,1.1661950004830965,0.6806121089657433,0.7866666666666666,0.19,0.5062476505573367,0.6467643796457565,0.14051672908841983
20220418_cam1_flid32.h5,exp4,174,29.08333333333333,2.916666666666668,retention,traversal,0.8960967498112741,-0.11857962116029297,0.4223263861574218,0.4816161967375683,0.965,0.0333333333333333,0.6467643796457565,0.6091941865329094,-0.03757019311284715
20220418_cam1_flid32.h5,exp4,179,29.916666666666668,2.083333333333332,traversal,retention,-1.43878802593377,0.9173571476329982,0.9402947705540674,0.4816161967375683,0.945,0.0533333333333333,0.6091941865329094,0.6140991040439064,0.004904917510997087
20220418_cam1_flid32.h5,exp4,188,31.416666666666668,0.5833333333333321,retention,traversal,1.0359848178185347,-0.8954687885017004,0.2501463901519825,0.6978807844028327,0.9683333333333334,0.0216666666666666,0.6140991040439064,0.1400042217789046,-0.47409488226500185
20220418_cam1_flid33.h5,exp4,151,25.25,129.75,retention,traversal,0.6445069739012073,-0.16463730481853356,1.3309917938072295,1.4133104462164963,0.6116666666666667,0.0933333333333333,0.3069856279357144,0.1401534421108174,-0.16683218582489698
