method,event,time_s,M,C,speed_rank,ridge_distance,burst
T427 direct,GW170104,-0.495267578125,0.2362061582248702,0.23235541277624538,0.44086021505376344,1.0828939214103754,0
T427 direct,GW170104,-0.491267578125,0.2505866582231035,0.20668556893197673,0.45698924731182794,1.0913148690336794,0
T427 direct,GW170104,-0.487267578125,0.28417713424968094,0.191535903722576,0.25806451612903225,1.0798224715668179,0
T427 direct,GW170104,-0.483267578125,0.2505866582231035,0.1763862385131753,0.3333333333333333,1.1135349051303653,0
T427 direct,GW170104,-0.479267578125,0.2505866582231035,0.1698613988638555,0.6290322580645161,1.1183695515926253,0
T427 direct,GW170104,-0.475267578125,0.345949323244215,0.16646005918681864,0.6344086021505376,1.0595145684206244,0
T427 direct,GW170104,-0.471267578125,0.345949323244215,0.1563160630398512,0.2903225806451613,1.0675134065899485,0
T427 direct,GW170104,-0.46726757812499997,0.345949323244215,0.13106054915883208,0.5645161290322581,1.0875835862097454,0
T427 direct,GW170104,-0.46326757812499997,0.26724066154201276,0.13106054915883208,0.553763440860215,1.1366582676097234,0
T427 direct,GW170104,-0.45926757812499996,0.26724066154201276,0.13106054915883208,0.9946236559139785,1.1366582676097234,1
T427 direct,GW170104,-0.45526757812499996,0.6741992890778717,0.13106054915883208,0.6935483870967742,0.9280096295111999,0
T427 direct,GW170104,-0.45126757812499996,0.3808949295994627,0.13927715565912574,0.946236559139785,1.0602522826978016,1
T427 direct,GW170104,-0.44726757812499995,0.3808949295994627,0.17599476799589395,0.5860215053763441,1.0306676043059637,0
T427 direct,GW170104,-0.44326757812499995,0.3808949295994627,0.2260215156044586,0.5698924731182796,0.991127530897449,0
T427 direct,GW170104,-0.43926757812499995,0.3808949295994627,0.2586931108729675,0.3118279569892473,0.965829691023657,0
T427 direct,GW170104,-0.43526757812499994,0.3808949295994627,0.2640680945044208,0.16129032258064516,0.9617103814153243,0
T427 direct,GW170104,-0.43126757812499994,0.3808949295994627,0.27009766076313635,0.3924731182795699,0.9571042331006063,0
T427 direct,GW170104,-0.42726757812499994,0.3808949295994627,0.31257028349266713,0.3870967741935484,0.925121993757043,0
T427 direct,GW170104,-0.42326757812499993,0.39272237929627396,0.31595703833143124,0.1881720430107527,0.9147135518925504,0
T427 direct,GW170104,-0.41926757812499993,0.3992120021435175,0.31595703833143124,0.10752688172043011,0.9104180313332486,0
T427 direct,GW170104,-0.4152675781249999,0.3992120021435175,0.31595703833143124,0.02956989247311828,0.9104180313332486,0
T427 direct,GW170104,-0.4112675781249999,0.3992120021435175,0.31595703833143124,0.3817204301075269,0.9104180313332486,0
T427 direct,GW170104,-0.4072675781249999,0.3992120021435175,0.27202379764253026,0.7688172043010753,0.9438726447817017,0
T427 direct,GW170104,-0.4032675781249999,0.286717914578147,0.2466664104025649,0.8172043010752689,1.037440519065794,1
T427 direct,GW170104,-0.3992675781249999,0.24323932347364566,0.24086931770980616,0.6612903225806451,1.0718983694040218,0
T427 direct,GW170104,-0.3952675781249999,0.1863414275111493,0.23209259766080034,0.489247311827957,1.1188038483809088,0
T427 direct,GW170104,-0.3912675781249999,0.1863414275111493,0.19924992787631943,0.510752688172043,1.1415957912460408,0
T427 direct,GW170104,-0.3872675781249999,0.1863414275111493,0.1579207833473271,0.3709677419354839,1.1709558829020732,0
T427 direct,GW170104,-0.3832675781249999,0.1863414275111493,0.15678608407945374,0.1989247311827957,1.1717721538706476,0
T427 direct,GW170104,-0.3792675781249999,0.20630493163446254,0.15678608407945374,0.9193548387096774,1.1579989505823558,1
T427 direct,GW170104,-0.3752675781249999,0.4338313923264606,0.15678608407945374,0.8763440860215054,1.0156557489213833,1
T427 direct,GW170104,-0.3712675781249999,0.4338313923264606,0.15678608407945374,0.3602150537634409,1.0156557489213833,0
T427 direct,GW170104,-0.3672675781249999,0.4338313923264606,0.19747530081311976,0.8924731182795699,0.9821368464323018,1
T427 direct,GW170104,-0.3632675781249999,0.20630493163446254,0.2167482673613672,0.8817204301075269,1.1150942284081626,1
T427 direct,GW170104,-0.3592675781249999,0.20630493163446254,0.2278948106305979,0.3763440860215054,1.1072932244888594,0
T427 direct,GW170104,-0.35526757812499987,0.24223872681880898,0.23951151580900293,0.34408602150537637,1.0735664309768167,0
T427 direct,GW170104,-0.35126757812499987,0.24223872681880898,0.2459127552633047,0.13978494623655913,1.0690414958306156,0
T427 direct,GW170104,-0.34726757812499986,0.24223872681880898,0.24853155617625164,0.08064516129032258,1.0671958438806186,0
T427 direct,GW170104,-0.34326757812499986,0.24455244769116108,0.24853155617625164,0.9032258064516129,1.0655542343552025,1
T427 direct,GW170104,-0.33926757812499986,0.4801324656650961,0.24853155617625164,0.8978494623655914,0.9137653283629985,1
T427 direct,GW170104,-0.33526757812499985,0.4801324656650961,0.2459127552633047,0.15591397849462366,0.91592020718512,0
