method_a,method_b,tier,median_speed_rho,median_burst_dice,p_speed,p_burst,null_speed_p95,null_burst_p95,median_abs_lag_ms,median_orientation_cosine,median_ridge_gap_ms,q_speed,q_burst,bridge_pass
T427 direct,T428 paired,primary,0.23514494874408942,0.25,0.4832583708145927,0.8510744627686156,0.282716118274748,0.34793478260869554,32.0,0.0,292.0000000000003,0.6128935532233883,0.8510744627686156,False
T427 direct,T429 separated,primary,0.22610384352580576,0.3333333333333333,0.5107446276861569,0.36731634182908546,0.29736881059485576,0.38095238095238093,12.0,-0.13060994693782163,20.000000000000018,0.6128935532233883,0.56071964017991,False
T427 direct,T432 dynamic,primary,0.2480935015283495,0.37209302325581395,0.44177911044477763,0.08595702148925537,0.28420352274915855,0.375,44.0,0.304447678900557,136.0000000000001,0.6128935532233883,0.2578710644677661,False
T428 paired,T429 separated,primary,0.22793915588462604,0.4,0.38630684657671166,0.0079960019990005,0.27706003853962224,0.36363636363636365,32.0,0.11579801510662881,280.0000000000002,0.6128935532233883,0.047976011994003,False
T428 paired,T432 dynamic,primary,0.25982304126399336,0.3,0.2063968015992004,0.447776111944028,0.2838980780868394,0.36363636363636365,28.0,0.04698686451975163,184.00000000000017,0.6128935532233883,0.56071964017991,False
T429 separated,T432 dynamic,primary,0.22841692223765042,0.3333333333333333,0.8280859570214892,0.4672663668165917,0.32635244509644407,0.4,4.0,-0.05004785205376123,136.0000000000001,0.8280859570214892,0.56071964017991,False
T427 direct,T430 budget (secondary),secondary,0.3058668819679156,0.3333333333333333,0.0034982508745627187,0.26486756621689156,0.2781835937965053,0.36363636363636365,24.0,0.01875732947113898,208.00000000000017,,,False
T428 paired,T430 budget (secondary),secondary,0.19765053818560407,0.3333333333333333,0.8180909545227386,0.30884557721139433,0.27121335076138614,0.375,12.0,0.0,172.00000000000014,,,False
T429 separated,T430 budget (secondary),secondary,0.20302563904197643,0.3333333333333333,0.9045477261369316,0.5552223888055972,0.30572949198460236,0.4166666666666667,20.0,0.0,192.00000000000017,,,False
T432 dynamic,T430 budget (secondary),secondary,0.24751039679074793,0.4583333333333333,0.391304347826087,0.005997001499250375,0.29885439092749616,0.4090909090909091,4.0,0.06287935370780176,144.0000000000001,,,False
