method_a,method_b,event,speed_rho,lag_frames,lag_ms,burst_dice,orientation_cosine,ridge_time_gap_ms
T427 direct,T428 paired,GW170104,0.21227739028622528,-3,-12,0.2631578947368421,0.2520665860653245,212.0000000000002
T427 direct,T428 paired,GW170608,0.20575853203275377,2,8,0.4266666666666667,0.42625789882960896,452.0000000000004
T427 direct,T428 paired,GW170809,0.11541829221302857,14,56,0.22535211267605634,-0.38738440962246007,392.00000000000034
T427 direct,T428 paired,GW170814,0.2215482536133007,-8,-32,0.25,0.0,608.0000000000006
T427 direct,T428 paired,GW170818,0.23313156461123125,0,0,0.34210526315789475,0.6853979230313512,288.0000000000002
T427 direct,T429 separated,GW170104,0.18143512779518656,-3,-12,0.2894736842105263,0.0,16.000000000000014
T427 direct,T429 separated,GW170608,0.1323605625890678,9,36,0.2894736842105263,0.095154566533437,176.00000000000017
T427 direct,T429 separated,GW170809,0.1469736629049821,-7,-28,0.15789473684210525,0.0,0.0
T427 direct,T429 separated,GW170814,0.3495584406914358,-1,-4,0.42105263157894735,-0.06859556156149559,16.000000000000014
T427 direct,T429 separated,GW170818,0.24125937775263062,4,16,0.24,0.08694026023369036,164.00000000000014
T427 direct,T432 dynamic,GW170104,0.11891372323025606,-14,-56,0.1388888888888889,-0.03814186857873882,56.00000000000005
T427 direct,T432 dynamic,GW170608,0.22386031422571845,-16,-64,0.2631578947368421,0.0,64.00000000000006
T427 direct,T432 dynamic,GW170809,0.19199489119095914,-1,-4,0.3157894736842105,0.24554962203596378,136.0000000000001
T427 direct,T432 dynamic,GW170814,0.2556510995687106,-1,-4,0.3157894736842105,0.5727614412444196,632.0000000000006
T427 direct,T432 dynamic,GW170818,0.21452434333925843,-1,-4,0.3157894736842105,0.6368983098863885,320.0000000000003
T428 paired,T429 separated,GW170104,0.22232550603720555,-8,-32,0.3835616438356164,-0.06275178476105445,196.00000000000017
T428 paired,T429 separated,GW170608,0.197816840195567,16,64,0.3055555555555556,0.11802107469960565,628.0000000000006
T428 paired,T429 separated,GW170809,0.13304327733597354,-8,-32,0.32432432432432434,-0.19597212025094107,392.00000000000034
T428 paired,T429 separated,GW170814,0.14835545851616955,-2,-8,0.42105263157894735,-0.37440863332786245,624.0000000000006
T428 paired,T429 separated,GW170818,0.14766448820587075,4,16,0.2894736842105263,0.0,452.0000000000004
T428 paired,T432 dynamic,GW170104,0.29191954897524736,-10,-40,0.3611111111111111,-0.1954778812433695,268.0000000000002
T428 paired,T432 dynamic,GW170608,0.15617707696049948,-2,-8,0.26666666666666666,0.4580465214260745,388.00000000000034
T428 paired,T432 dynamic,GW170809,0.14471215853674818,-7,-28,0.2972972972972973,0.0,256.0000000000002
T428 paired,T432 dynamic,GW170814,0.11738293735222913,-3,-12,0.3684210526315789,0.14172646138438943,24.00000000000002
T428 paired,T432 dynamic,GW170818,0.21649528162382434,-10,-40,0.35135135135135137,-0.0557424778016869,32.00000000000003
T429 separated,T432 dynamic,GW170104,0.1898974434964774,-12,-48,0.2972972972972973,0.04726167981245574,72.00000000000006
T429 separated,T432 dynamic,GW170608,0.17638430249513498,-1,-4,0.3157894736842105,-0.12422701571767003,240.00000000000023
T429 separated,T432 dynamic,GW170809,0.21068254380178547,12,48,0.40540540540540543,0.0,136.0000000000001
T429 separated,T432 dynamic,GW170814,0.23972350209417553,-10,-40,0.34285714285714286,0.02760213458880499,648.0000000000006
T429 separated,T432 dynamic,GW170818,0.24680249658731987,15,60,0.37681159420289856,0.0,484.00000000000045
