event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170608,T427 direct,-0.495267578125,0.27054148189317256,0.2791383453682801,0.11965811965811966,0,-32
GW170608,T427 direct,-0.491267578125,0.27021905935958374,0.28421329617697305,0.1111111111111111,0,-32
GW170608,T427 direct,-0.487267578125,0.26730230082650497,0.2875088287696508,0.042735042735042736,0,-32
GW170608,T427 direct,-0.483267578125,0.27021905935958374,0.28421329617697305,0.09401709401709402,0,-32
GW170608,T427 direct,-0.479267578125,0.2708639044267614,0.28421329617697305,0.042735042735042736,0,-32
GW170608,T427 direct,-0.475267578125,0.27021905935958374,0.28421329617697305,0.1623931623931624,0,-32
GW170608,T427 direct,-0.471267578125,0.2708639044267614,0.26128617158928125,0.3504273504273504,0,-32
GW170608,T427 direct,-0.46726757812499997,0.3264694513972005,0.26128617158928125,0.6324786324786325,0,-32
GW170608,T427 direct,-0.46326757812499997,0.403463758819781,0.26128617158928125,0.4017094017094017,0,-32
GW170608,T427 direct,-0.45926757812499996,0.403463758819781,0.26128617158928125,0.2777777777777778,0,-32
GW170608,T427 direct,-0.45526757812499996,0.4554359744301741,0.2814304731827524,0.2777777777777778,0,-32
GW170608,T427 direct,-0.45126757812499996,0.4554359744301741,0.2814304731827524,0.23076923076923078,0,-32
GW170608,T427 direct,-0.44726757812499995,0.5013901265268436,0.2814304731827524,0.452991452991453,0,-32
GW170608,T427 direct,-0.44326757812499995,0.5534573614787257,0.2814304731827524,0.5384615384615384,0,-32
GW170608,T427 direct,-0.43926757812499995,0.5534573614787257,0.18555879978109327,0.5299145299145299,0,-32
GW170608,T427 direct,-0.43526757812499994,0.6041654546182862,0.18555879978109327,0.24786324786324787,0,-32
GW170608,T427 direct,-0.43126757812499994,0.6041654546182862,0.18555879978109327,0.042735042735042736,0,-32
GW170608,T427 direct,-0.42726757812499994,0.6041654546182862,0.18555879978109327,0.38461538461538464,0,-32
GW170608,T427 direct,-0.42326757812499993,0.6643259659597073,0.22735559833657965,0.6239316239316239,0,-32
GW170608,T427 direct,-0.41926757812499993,0.6041654546182862,0.31170026548006136,0.7350427350427351,0,-32
GW170608,T427 direct,-0.4152675781249999,0.5845867946671905,0.3810688648383722,0.9230769230769231,0,-32
GW170608,T427 direct,-0.4112675781249999,0.2584576259715479,0.4164980256507148,0.905982905982906,0,-32
GW170608,T427 direct,-0.4072675781249999,0.2584576259715479,0.4164980256507148,0.358974358974359,0,-32
GW170608,T427 direct,-0.4032675781249999,0.3233959482684826,0.4164980256507148,0.8974358974358975,0,-32
GW170608,T427 direct,-0.3992675781249999,0.5845867946671905,0.4204260188546896,0.17094017094017094,0,-32
GW170608,T427 direct,-0.3952675781249999,0.34907387633812004,0.4204260188546896,0.7948717948717948,0,-32
GW170608,T427 direct,-0.3912675781249999,0.34907387633812004,0.41150827448818766,0.8461538461538461,0,-32
GW170608,T427 direct,-0.3872675781249999,0.6348379737872634,0.40490385606132456,0.8547008547008547,0,-32
GW170608,T427 direct,-0.3832675781249999,0.6452757059174818,0.39950119483009927,0.26495726495726496,0,-32
GW170608,T427 direct,-0.3792675781249999,0.6529615560096655,0.3541408765428862,0.48717948717948717,0,-32
GW170608,T427 direct,-0.3752675781249999,0.6529615560096655,0.29343227280831774,0.811965811965812,0,-32
GW170608,T427 direct,-0.3712675781249999,0.8644052958104838,0.2379245987273409,0.8888888888888888,0,-32
GW170608,T427 direct,-0.3672675781249999,0.9670553656223335,0.21828496819888177,0.5128205128205128,0,-32
GW170608,T427 direct,-0.3632675781249999,0.9670553656223335,0.20725733096063048,0.13675213675213677,0,-32
GW170608,T427 direct,-0.3592675781249999,0.9670553656223335,0.20725733096063048,0.042735042735042736,0,-32
GW170608,T427 direct,-0.35526757812499987,0.9670553656223335,0.20725733096063048,0.47863247863247865,0,-32
GW170608,T427 direct,-0.35126757812499987,0.8629339474399123,0.20725733096063048,1.0,0,-32
GW170608,T427 direct,-0.34726757812499986,0.37257468489580603,0.25036743061906397,0.9829059829059829,0,-32
GW170608,T427 direct,-0.34326757812499986,0.37257468489580603,0.2919075084301822,0.5555555555555556,0,-32
GW170608,T427 direct,-0.33926757812499986,0.3376008005691995,0.35639287212010096,0.6837606837606838,0,-32
GW170608,T427 direct,-0.33526757812499985,0.2966884019158703,0.42268496431199276,0.6666666666666666,0,-32
