method,event,time_s,M,C,speed_rank,ridge_distance,burst
T427 direct,GW170104,-0.495267578125,0.2362061582248702,0.23235541277624538,0.4358974358974359,1.0828939214103754,0
T427 direct,GW170104,-0.491267578125,0.2505866582231035,0.20668556893197673,0.452991452991453,1.0913148690336794,0
T427 direct,GW170104,-0.487267578125,0.28417713424968094,0.191535903722576,0.23931623931623933,1.0798224715668179,0
T427 direct,GW170104,-0.483267578125,0.2505866582231035,0.1763862385131753,0.3162393162393162,1.1135349051303653,0
T427 direct,GW170104,-0.479267578125,0.2505866582231035,0.1698613988638555,0.6068376068376068,1.1183695515926253,0
T427 direct,GW170104,-0.475267578125,0.345949323244215,0.16646005918681864,0.6153846153846154,1.0595145684206244,0
T427 direct,GW170104,-0.471267578125,0.345949323244215,0.1563160630398512,0.26495726495726496,1.0675134065899485,0
T427 direct,GW170104,-0.46726757812499997,0.345949323244215,0.13106054915883208,0.5641025641025641,1.0875835862097454,0
T427 direct,GW170104,-0.46326757812499997,0.26724066154201276,0.13106054915883208,0.5470085470085471,1.1366582676097234,0
T427 direct,GW170104,-0.45926757812499996,0.26724066154201276,0.13106054915883208,0.9914529914529915,1.1366582676097234,1
T427 direct,GW170104,-0.45526757812499996,0.6741992890778717,0.13106054915883208,0.6837606837606838,0.9280096295111999,0
T427 direct,GW170104,-0.45126757812499996,0.3808949295994627,0.13927715565912574,0.9145299145299145,1.0602522826978016,1
T427 direct,GW170104,-0.44726757812499995,0.3808949295994627,0.17599476799589395,0.5897435897435898,1.0306676043059637,0
T427 direct,GW170104,-0.44326757812499995,0.3808949295994627,0.2260215156044586,0.5726495726495726,0.991127530897449,0
T427 direct,GW170104,-0.43926757812499995,0.3808949295994627,0.2586931108729675,0.28205128205128205,0.965829691023657,0
T427 direct,GW170104,-0.43526757812499994,0.3808949295994627,0.2640680945044208,0.17094017094017094,0.9617103814153243,0
T427 direct,GW170104,-0.43126757812499994,0.3808949295994627,0.27009766076313635,0.39316239316239315,0.9571042331006063,0
T427 direct,GW170104,-0.42726757812499994,0.3808949295994627,0.31257028349266713,0.38461538461538464,0.925121993757043,0
T427 direct,GW170104,-0.42326757812499993,0.39272237929627396,0.31595703833143124,0.21367521367521367,0.9147135518925504,0
T427 direct,GW170104,-0.41926757812499993,0.3992120021435175,0.31595703833143124,0.10256410256410256,0.9104180313332486,0
T427 direct,GW170104,-0.4152675781249999,0.3992120021435175,0.31595703833143124,0.029914529914529916,0.9104180313332486,0
T427 direct,GW170104,-0.4112675781249999,0.3992120021435175,0.31595703833143124,0.37606837606837606,0.9104180313332486,0
T427 direct,GW170104,-0.4072675781249999,0.3992120021435175,0.27202379764253026,0.7264957264957265,0.9438726447817017,0
T427 direct,GW170104,-0.4032675781249999,0.286717914578147,0.2466664104025649,0.7692307692307693,1.037440519065794,0
T427 direct,GW170104,-0.3992675781249999,0.24323932347364566,0.24086931770980616,0.6410256410256411,1.0718983694040218,0
T427 direct,GW170104,-0.3952675781249999,0.1863414275111493,0.23209259766080034,0.47863247863247865,1.1188038483809088,0
T427 direct,GW170104,-0.3912675781249999,0.1863414275111493,0.19924992787631943,0.49572649572649574,1.1415957912460408,0
T427 direct,GW170104,-0.3872675781249999,0.1863414275111493,0.1579207833473271,0.358974358974359,1.1709558829020732,0
T427 direct,GW170104,-0.3832675781249999,0.1863414275111493,0.15678608407945374,0.23076923076923078,1.1717721538706476,0
T427 direct,GW170104,-0.3792675781249999,0.20630493163446254,0.15678608407945374,0.8803418803418803,1.1579989505823558,1
T427 direct,GW170104,-0.3752675781249999,0.4338313923264606,0.15678608407945374,0.811965811965812,1.0156557489213833,1
T427 direct,GW170104,-0.3712675781249999,0.4338313923264606,0.15678608407945374,0.3418803418803419,1.0156557489213833,0
T427 direct,GW170104,-0.3672675781249999,0.4338313923264606,0.19747530081311976,0.8376068376068376,0.9821368464323018,1
