event,detector,parent_spearman,parent_sum_std,parent_sum_mean
GW190412,H1,-0.6287587616500473,0.33078652389884566,2.115354611456494
GW190412,L1,-0.8296561107022629,0.29511360972300044,1.8338502108190116
GW190503_185404,H1,-0.04925062389248934,0.4907025574940013,2.44980106210796
GW190503_185404,L1,-0.597513612347783,0.28185815460726416,2.055174162482138
GW190512_180714,H1,-0.7108096062916338,0.3087888879916959,2.1976697440020674
GW190512_180714,L1,-0.681452526434385,0.3612000152585054,2.1457546650586035
GW190513_205428,H1,-0.09018760015530869,0.4973619873328705,2.0458516887800924
GW190513_205428,L1,-0.5878770402909582,0.31609509040518236,2.035398859217377
GW190517_055101,H1,-0.683877598835879,0.2947893455782294,2.045346938678787
GW190517_055101,L1,-0.16638828151024515,0.3930491947765852,2.3413793185162715
GW190519_153544,H1,-0.5021791471847643,0.37804644669676873,1.9375128621133588
GW190519_153544,L1,-0.37445787991597085,0.41876825297769943,2.04596620195552
GW190521_074359,H1,-0.31522479568313616,0.4144077749323139,2.3436874246133215
GW190521_074359,L1,-0.7436959449565003,0.3828821320302232,1.8704830197800428
GW190602_175927,H1,-0.39036265282966687,0.351919178104083,2.2781518758345416
GW190602_175927,L1,-0.3552640180078921,0.4186551922469093,2.145077459834312
GW190727_060333,H1,-0.636704012685985,0.3568332335262488,2.330653971293227
GW190727_060333,L1,-0.7399234197378013,0.2609567234930544,1.7052259408376007
GW190828_063405,H1,-0.5901977970240686,0.48268559864975247,1.9439561507235934
GW190828_063405,L1,-0.5476737235090431,0.37448874058521375,1.9533402371140618
